Class,Avg Hours Studied,Avg Grade
BIBC120,5.69,2.95
BIBC120,7.36,3.18
BIBC120,5.02,2.87
BIBC120,5.85,3.17
BIBC120,5.87,2.95
BIBC120,6.26,2.85
BIBC120,5.77,2.99
BIBC120,5.89,2.82
BIBC120,5.64,3.00
BIBC120,5.55,3.04
BIBC120,5.76,2.90
BIBC120,5.73,2.92
BIBC120,4.68,3.04
BIBC120,5.51,2.86
BIBC120,4.65,3.56
BIBC120,7.5,N/A
BIBC120,5.12,2.98
BIBC120,6.04,2.74
BIBC120,5.33,2.65
BIBC120,5.99,N/A
BIBC120,4.52,2.80
BIBC120,4.27,2.95
BIBC120,5.17,2.79
BIBC120,4.53,2.81
BIBC120,4.16,2.95
BIBC120,4.38,3.08
BIBC120,5.44,N/A

