Class,Avg Hours Studied,Avg Grade
BICD100,5.01,N/A
BICD100,6.23,N/A
BICD100,5.13,N/A
BICD100,5.43,3.02
BICD100,4.91,3.44
BICD100,6.31,3.11
BICD100,5.98,2.68
BICD100,5.1,3.17
BICD100,4.44,2.90
BICD100,5.01,3.40
BICD100,5.18,2.95
BICD100,5.13,3.26
BICD100,4.37,3.17
BICD100,5.07,3.07
BICD100,5.72,3.17
BICD100,11.94,3.45
BICD100,6.96,2.84
BICD100,5.2,2.77
BICD100,5.73,3.09
BICD100,5.09,3.24
BICD100,6.49,2.92
BICD100,5.78,3.01
BICD100,6.22,3.01
BICD100,10.34,3.49
BICD100,6.75,2.96
BICD100,5.77,2.71
BICD100,4.66,2.91
BICD100,5.16,2.79
BICD100,5.65,3.09
BICD100,5.63,3.24
BICD100,6.13,3.04
BICD100,7.79,3.10
BICD100,9.41,3.38
BICD100,4.6,2.80
BICD100,4.97,2.80
BICD100,5.38,3.01
BICD100,5.36,3.24
BICD100,5.38,3.02
BICD100,5.7,3.02
BICD100,7.95,3.06
BICD100,5.33,2.98
BICD100,5.56,2.89
BICD100,5.39,3.06
BICD100,6.0,3.06
BICD100,5.15,2.98
BICD100,5.38,2.98
BICD100,8.3,2.71
BICD100,5.34,3.28
BICD100,6.25,2.63
BICD100,5.65,3.21
BICD100,5.37,3.21
BICD100,4.26,3.48
BICD100,7.95,3.34
BICD100,6.04,2.91
BICD100,6.29,3.00
BICD100,6.18,2.84
BICD100,6.84,2.84
BICD100,5.99,2.73
BICD100,7.4,2.73
BICD100,5.59,2.73
BICD100,6.96,3.18
BICD100,5.28,2.79
BICD100,5.83,2.56
BICD100,5.24,3.17
BICD100,5.64,2.81
BICD100,7.24,2.79
BICD100,4.78,3.27
BICD100,5.41,N/A
BICD100,6.59,N/A
BICD100,7.01,2.71
BICD100,5.39,2.71
BICD100,4.88,3.19
BICD100,6.18,2.95
BICD100,6.44,2.95
BICD100,7.32,2.95
BICD100,4.5,3.34
BICD100,5.95,2.93
BICD100,5.51,2.50
BICD100,8.23,N/A
BICD100,4.98,2.52
BICD100,4.46,2.52
BICD100,4.63,2.88
BICD100,4.22,2.88
BICD100,5.03,2.61
BICD100,4.33,3.28
BICD100,5.7,2.48
BICD100,6.26,N/A
BICD100,7.11,N/A
BICD100,6.19,2.67
BICD100,4.24,3.33
BICD100,5.27,2.65
BICD100,5.65,2.65
BICD100,5.4,2.53
BICD100,4.68,1.86
BICD100,5.7,2.45

