Class,Avg Hours Studied,Avg Grade
BILD2,6.37,N/A
BILD2,6.05,N/A
BILD2,3.13,N/A
BILD2,4.7,3.36
BILD2,3.53,2.91
BILD2,7.75,3.28
BILD2,7.31,3.42
BILD2,6.14,3.29
BILD2,5.08,3.21
BILD2,3.24,3.57
BILD2,6.36,2.66
BILD2,5.05,3.17
BILD2,4.95,3.43
BILD2,5.27,2.64
BILD2,8.74,2.85
BILD2,6.94,2.62
BILD2,3.28,3.38
BILD2,6.24,2.71
BILD2,5.31,3.16
BILD2,6.72,2.65
BILD2,5.05,2.78
BILD2,3.99,2.65
BILD2,7.57,2.98
BILD2,5.93,2.51
BILD2,3.43,3.58
BILD2,6.44,3.19
BILD2,5.87,3.16
BILD2,5.1,2.65
BILD2,6.82,2.76
BILD2,5.1,2.59
BILD2,9.46,3.08
BILD2,6.16,2.94
BILD2,6.38,3.05
BILD2,3.49,3.31
BILD2,6.15,2.84
BILD2,6.12,3.19
BILD2,3.26,3.13
BILD2,5.22,2.64
BILD2,6.84,2.75
BILD2,5.41,2.47
BILD2,8.35,3.27
BILD2,5.91,2.76
BILD2,5.93,3.16
BILD2,3.62,3.41
BILD2,6.38,3.04
BILD2,4.89,2.28
BILD2,6.87,2.76
BILD2,6.09,2.51
BILD2,9.25,3.08
BILD2,5.87,2.81
BILD2,3.34,3.54
BILD2,7.22,2.72
BILD2,5.26,2.90
BILD2,6.78,3.00
BILD2,4.98,2.62
BILD2,7.33,2.88
BILD2,7.63,2.97
BILD2,3.26,3.56
BILD2,8.15,2.67
BILD2,5.08,2.66
BILD2,8.13,3.21
BILD2,6.13,3.02
BILD2,9.06,2.83
BILD2,6.46,2.87
BILD2,3.66,3.68
BILD2,7.57,2.50
BILD2,6.8,3.09
BILD2,5.28,2.82
BILD2,7.45,2.46
BILD2,6.65,2.77
BILD2,7.1,N/A
BILD2,5.13,3.10
BILD2,5.61,2.83
BILD2,3.47,2.64
BILD2,3.46,3.45
BILD2,7.38,2.70
BILD2,5.55,2.65
BILD2,6.66,2.19
BILD2,4.78,2.64
BILD2,4.03,3.13
BILD2,8.95,N/A
BILD2,4.94,2.88
BILD2,5.01,2.73
BILD2,2.58,3.14
BILD2,4.91,2.60
BILD2,5.4,2.36
BILD2,5.31,2.58
BILD2,4.11,3.10
BILD2,6.03,N/A
BILD2,6.94,N/A
BILD2,4.91,2.84
BILD2,4.99,2.86
BILD2,3.04,3.09
BILD2,5.74,2.60
BILD2,5.57,2.60
BILD2,5.71,2.59
BILD2,4.22,2.84
BILD2,6.06,2.94
BILD2,4.11,2.78
BILD2,7.39,N/A
BILD2,6.69,N/A
BILD2,5.93,N/A

