Class,Avg Hours Studied,Avg Grade
BIMM110,7.06,N/A
BIMM110,4.69,N/A
BIMM110,6.03,3.38
BIMM110,5.66,3.25
BIMM110,6.19,3.32
BIMM110,5.29,3.46
BIMM110,6.01,3.24
BIMM110,6.5,3.40
BIMM110,4.62,3.34
BIMM110,6.65,2.92
BIMM110,5.71,3.27
BIMM110,6.53,3.73
BIMM110,5.53,3.15
BIMM110,6.25,3.45
BIMM110,6.17,3.42
BIMM110,5.17,3.34
BIMM110,5.86,3.11
BIMM110,6.44,3.60
BIMM110,6.03,3.17
BIMM110,5.75,2.95
BIMM110,5.82,3.23
BIMM110,4.5,3.02
BIMM110,4.6,3.02
BIMM110,5.12,3.03
BIMM110,5.7,3.10
BIMM110,6.63,2.92
BIMM110,6.12,2.92
BIMM110,6.12,2.70
BIMM110,5.78,2.59
BIMM110,5.97,2.97
BIMM110,6.42,2.84
BIMM110,6.22,2.84
BIMM110,5.19,3.02
BIMM110,4.8,3.04
BIMM110,4.98,3.35
BIMM110,5.15,3.06
BIMM110,5.27,2.66
BIMM110,4.76,3.24
BIMM110,4.96,2.59
BIMM110,5.19,3.05

