Class,Avg Hours Studied,Avg Grade
BIPN100,7.64,N/A
BIPN100,7.84,N/A
BIPN100,8.26,2.88
BIPN100,7.23,3.03
BIPN100,8.47,2.73
BIPN100,9.92,2.52
BIPN100,6.98,2.97
BIPN100,6.88,2.70
BIPN100,7.07,2.60
BIPN100,6.55,2.60
BIPN100,8.26,2.89
BIPN100,7.35,2.76
BIPN100,9.5,2.67
BIPN100,6.41,3.00
BIPN100,6.5,3.00
BIPN100,6.35,2.55
BIPN100,7.33,3.25
BIPN100,7.61,2.94
BIPN100,6.54,2.86
BIPN100,6.88,2.74
BIPN100,12.5,2.68
BIPN100,6.7,2.63
BIPN100,7.85,3.03
BIPN100,6.48,2.46
BIPN100,6.95,2.73
BIPN100,7.94,2.72
BIPN100,7.25,2.74
BIPN100,11.42,2.87
BIPN100,8.83,2.69
BIPN100,7.66,2.92
BIPN100,6.95,2.70
BIPN100,6.59,3.35
BIPN100,8.22,2.55
BIPN100,11.23,2.75
BIPN100,8.04,2.47
BIPN100,7.98,2.83
BIPN100,7.73,2.47
BIPN100,6.88,3.49
BIPN100,8.32,2.63
BIPN100,12.1,2.80
BIPN100,6.92,2.61
BIPN100,7.55,2.62
BIPN100,6.29,3.25
BIPN100,7.45,2.73
BIPN100,7.91,2.81
BIPN100,11.08,2.70
BIPN100,8.17,2.83
BIPN100,8.47,2.84
BIPN100,7.97,3.22
BIPN100,7.94,2.66
BIPN100,8.31,2.65
BIPN100,11.28,2.54
BIPN100,8.08,2.56
BIPN100,7.63,2.63
BIPN100,7.96,2.13
BIPN100,7.68,2.60
BIPN100,7.75,2.64
BIPN100,11.5,N/A
BIPN100,7.85,2.60
BIPN100,7.14,2.60
BIPN100,7.01,3.15
BIPN100,8.08,2.48
BIPN100,6.9,2.54
BIPN100,6.15,2.67
BIPN100,9.89,N/A
BIPN100,6.14,2.56
BIPN100,6.71,2.56
BIPN100,6.66,3.04
BIPN100,7.2,2.56
BIPN100,7.43,2.71
BIPN100,5.97,2.44
BIPN100,5.71,2.44
BIPN100,6.35,2.58
BIPN100,5.52,2.65
BIPN100,6.48,2.62

