Class,Avg Hours Studied,Avg Grade
CHEM6A,5.95,N/A
CHEM6A,5.37,N/A
CHEM6A,5.95,2.67
CHEM6A,5.08,3.11
CHEM6A,6.95,2.83
CHEM6A,5.4,3.00
CHEM6A,5.45,3.00
CHEM6A,5.94,3.04
CHEM6A,6.54,2.79
CHEM6A,5.04,2.77
CHEM6A,5.11,2.40
CHEM6A,8.08,3.17
CHEM6A,7.02,3.18
CHEM6A,5.7,3.23
CHEM6A,6.6,2.70
CHEM6A,5.61,2.30
CHEM6A,5.56,2.33
CHEM6A,5.77,2.35
CHEM6A,6.27,2.98
CHEM6A,5.8,3.13
CHEM6A,5.88,3.13
CHEM6A,6.85,3.05
CHEM6A,7.11,3.05
CHEM6A,5.5,3.18
CHEM6A,6.78,2.81
CHEM6A,5.32,3.24
CHEM6A,8.5,3.26
CHEM6A,8.5,N/A
CHEM6A,6.8,2.95
CHEM6A,6.26,2.13
CHEM6A,6.44,2.59
CHEM6A,6.81,2.71
CHEM6A,6.35,3.06
CHEM6A,6.5,3.06
CHEM6A,6.96,3.10
CHEM6A,7.88,3.18
CHEM6A,7.35,3.18
CHEM6A,7.67,2.72
CHEM6A,6.3,3.08
CHEM6A,6.68,2.88
CHEM6A,5.77,3.01
CHEM6A,8.35,3.34
CHEM6A,7.33,3.51
CHEM6A,8.25,3.06
CHEM6A,6.19,2.54
CHEM6A,6.25,2.24
CHEM6A,6.19,2.78
CHEM6A,6.64,3.19
CHEM6A,6.72,3.09
CHEM6A,6.99,2.79
CHEM6A,6.25,2.94
CHEM6A,6.86,3.16
CHEM6A,6.46,2.97
CHEM6A,7.22,2.79
CHEM6A,6.2,2.97
CHEM6A,8.74,3.17
CHEM6A,9.21,2.80
CHEM6A,9.0,2.67
CHEM6A,4.59,2.64
CHEM6A,6.49,2.70
CHEM6A,7.01,2.56
CHEM6A,6.65,2.69
CHEM6A,7.2,2.96
CHEM6A,6.83,2.95
CHEM6A,6.12,3.24
CHEM6A,7.72,3.07
CHEM6A,6.29,2.94
CHEM6A,5.57,3.11
CHEM6A,6.68,2.95
CHEM6A,8.17,3.16
CHEM6A,8.67,2.54
CHEM6A,8.77,2.75
CHEM6A,7.46,2.66
CHEM6A,6.36,2.49
CHEM6A,5.9,2.85
CHEM6A,7.06,2.88
CHEM6A,7.9,2.78
CHEM6A,6.29,2.66
CHEM6A,6.06,2.66
CHEM6A,7.33,3.07
CHEM6A,6.89,3.03
CHEM6A,6.28,2.98
CHEM6A,8.65,3.45
CHEM6A,8.89,2.96
CHEM6A,11.05,2.88
CHEM6A,6.23,2.37
CHEM6A,6.87,2.37
CHEM6A,7.28,2.85
CHEM6A,5.98,2.92
CHEM6A,7.48,2.87
CHEM6A,6.22,2.68
CHEM6A,6.13,2.68
CHEM6A,7.88,2.67
CHEM6A,7.22,2.67
CHEM6A,8.43,3.39
CHEM6A,10.0,2.86
CHEM6A,7.26,2.38
CHEM6A,7.06,2.41
CHEM6A,8.4,2.81
CHEM6A,6.88,2.80
CHEM6A,6.85,2.64
CHEM6A,7.47,2.59
CHEM6A,7.69,2.59
CHEM6A,6.09,3.26
CHEM6A,8.19,2.57
CHEM6A,9.6,3.58
CHEM6A,9.25,2.67
CHEM6A,7.5,2.42
CHEM6A,7.21,2.34
CHEM6A,8.33,2.78
CHEM6A,6.83,2.90
CHEM6A,7.43,2.80
CHEM6A,6.74,2.83
CHEM6A,6.56,2.83
CHEM6A,6.14,2.89
CHEM6A,8.63,3.24
CHEM6A,8.08,3.46
CHEM6A,11.8,N/A
CHEM6A,6.14,1.96
CHEM6A,7.57,2.36
CHEM6A,8.26,2.69
CHEM6A,5.61,2.90
CHEM6A,5.94,2.68
CHEM6A,6.68,2.68
CHEM6A,7.56,2.88
CHEM6A,7.68,2.66
CHEM6A,7.4,2.66
CHEM6A,7.52,2.80
CHEM6A,8.33,N/A
CHEM6A,9.32,N/A
CHEM6A,5.37,2.19
CHEM6A,6.34,2.53
CHEM6A,6.02,2.67
CHEM6A,6.97,2.49
CHEM6A,6.15,2.54
CHEM6A,6.27,2.54
CHEM6A,6.22,2.85
CHEM6A,6.06,2.49
CHEM6A,6.4,3.07
CHEM6A,9.15,N/A
CHEM6A,7.17,N/A
CHEM6A,4.9,2.30
CHEM6A,5.8,2.56
CHEM6A,6.45,2.78
CHEM6A,6.17,2.37
CHEM6A,6.2,2.58
CHEM6A,6.77,2.58
CHEM6A,6.49,3.00
CHEM6A,6.18,2.37
CHEM6A,6.14,3.16
CHEM6A,9.31,N/A

