Class,Avg Hours Studied,Avg Grade
CHEM6C,6.9,N/A
CHEM6C,6.7,2.49
CHEM6C,11.17,2.92
CHEM6C,11.36,3.10
CHEM6C,5.68,3.33
CHEM6C,7.57,2.78
CHEM6C,8.0,2.78
CHEM6C,6.6,2.86
CHEM6C,5.47,3.23
CHEM6C,7.07,2.31
CHEM6C,7.71,2.59
CHEM6C,11.86,N/A
CHEM6C,10.02,2.80
CHEM6C,6.94,2.95
CHEM6C,6.36,3.18
CHEM6C,8.14,2.83
CHEM6C,8.42,2.83
CHEM6C,6.37,2.87
CHEM6C,6.61,2.81
CHEM6C,10.97,2.73
CHEM6C,10.96,3.19
CHEM6C,6.91,2.88
CHEM6C,6.7,3.20
CHEM6C,8.14,2.83
CHEM6C,8.25,2.83
CHEM6C,6.55,3.54
CHEM6C,7.97,2.73
CHEM6C,8.29,2.64
CHEM6C,12.18,2.72
CHEM6C,9.3,2.96
CHEM6C,7.29,2.85
CHEM6C,6.28,3.11
CHEM6C,6.19,2.94
CHEM6C,8.31,2.95
CHEM6C,6.93,3.27
CHEM6C,6.48,2.63
CHEM6C,8.15,2.68
CHEM6C,9.6,2.85
CHEM6C,8.41,3.12
CHEM6C,6.17,2.57
CHEM6C,7.48,2.96
CHEM6C,6.74,3.00
CHEM6C,6.52,2.76
CHEM6C,6.32,3.42
CHEM6C,6.14,2.58
CHEM6C,7.71,2.76
CHEM6C,10.08,2.90
CHEM6C,8.61,2.86
CHEM6C,7.93,2.69
CHEM6C,7.59,2.69
CHEM6C,4.62,2.77
CHEM6C,6.5,2.66
CHEM6C,7.12,3.15
CHEM6C,5.78,2.64
CHEM6C,7.15,2.75
CHEM6C,8.6,2.75
CHEM6C,9.86,2.81
CHEM6C,10.67,2.89
CHEM6C,7.61,2.95
CHEM6C,7.04,3.03
CHEM6C,5.71,2.58
CHEM6C,6.82,2.58
CHEM6C,7.79,3.34
CHEM6C,6.58,2.45
CHEM6C,7.77,2.94
CHEM6C,8.65,2.94
CHEM6C,11.06,2.88
CHEM6C,10.07,2.95
CHEM6C,7.55,2.98
CHEM6C,6.96,3.07
CHEM6C,4.84,2.55
CHEM6C,7.64,2.98
CHEM6C,6.45,3.34
CHEM6C,6.33,2.47
CHEM6C,6.52,2.48
CHEM6C,7.17,2.68
CHEM6C,8.22,N/A
CHEM6C,9.18,N/A
CHEM6C,6.71,2.85
CHEM6C,5.99,2.99
CHEM6C,6.62,2.99
CHEM6C,7.96,2.95
CHEM6C,6.28,2.77
CHEM6C,5.38,2.81
CHEM6C,6.19,2.77
CHEM6C,5.17,2.62
CHEM6C,8.43,N/A
CHEM6C,8.11,N/A
CHEM6C,4.96,2.87
CHEM6C,6.31,2.86
CHEM6C,5.16,2.49
CHEM6C,6.47,2.85
CHEM6C,4.61,3.37
CHEM6C,5.37,2.77
CHEM6C,5.66,2.86
CHEM6C,4.55,2.82
CHEM6C,8.74,N/A
CHEM6C,7.1,N/A
CHEM6C,6.45,2.67
CHEM6C,4.68,2.80
CHEM6C,5.84,3.01
CHEM6C,4.72,2.80
CHEM6C,4.46,2.65
CHEM6C,5.56,3.00
CHEM6C,5.77,2.71
CHEM6C,9.09,N/A
CHEM6C,7.57,N/A

