Class,Avg Hours Studied,Avg Grade
CHEM7L,6.12,N/A
CHEM7L,6.23,N/A
CHEM7L,6.82,2.87
CHEM7L,7.22,2.87
CHEM7L,10.23,2.97
CHEM7L,8.33,2.97
CHEM7L,10.63,2.97
CHEM7L,8.35,2.97
CHEM7L,7.13,3.01
CHEM7L,6.6,3.01
CHEM7L,6.18,3.04
CHEM7L,6.55,3.04
CHEM7L,7.32,2.91
CHEM7L,8.34,2.91
CHEM7L,10.14,3.03
CHEM7L,8.99,3.03
CHEM7L,6.74,2.94
CHEM7L,6.67,2.94
CHEM7L,9.34,3.57
CHEM7L,4.71,3.49
CHEM7L,5.06,3.49
CHEM7L,7.17,2.97
CHEM7L,6.33,2.97
CHEM7L,9.45,3.10
CHEM7L,7.12,3.47
CHEM7L,5.01,3.03
CHEM7L,5.82,3.03
CHEM7L,10.85,3.56
CHEM7L,6.06,3.05
CHEM7L,5.94,3.05
CHEM7L,6.09,3.32
CHEM7L,8.83,3.65
CHEM7L,5.88,3.04
CHEM7L,6.5,3.04
CHEM7L,7.01,3.42
CHEM7L,8.88,3.01
CHEM7L,8.6,2.96
CHEM7L,5.66,2.96
CHEM7L,6.25,2.96
CHEM7L,9.75,3.58
CHEM7L,6.1,3.02
CHEM7L,5.87,3.02
CHEM7L,8.5,3.31
CHEM7L,6.13,3.01
CHEM7L,6.94,3.01
CHEM7L,9.79,2.96
CHEM7L,6.39,2.89
CHEM7L,6.47,2.89
CHEM7L,7.27,2.78
CHEM7L,6.42,2.78
CHEM7L,6.31,2.84
CHEM7L,5.56,2.84
CHEM7L,6.07,2.90
CHEM7L,6.37,2.90
CHEM7L,7.05,2.94
CHEM7L,5.9,2.94
CHEM7L,6.13,2.90
CHEM7L,6.47,2.90
CHEM7L,11.03,2.90
CHEM7L,7.63,2.76
CHEM7L,6.72,2.76
CHEM7L,7.2,2.72
CHEM7L,8.03,2.72
CHEM7L,7.13,2.93
CHEM7L,6.85,2.93
CHEM7L,10.55,2.79
CHEM7L,8.88,2.80
CHEM7L,8.1,2.80
CHEM7L,8.61,2.85
CHEM7L,8.25,2.85
CHEM7L,8.39,2.91
CHEM7L,8.62,2.91

