Class,Avg Hours Studied,Avg Grade
MAE110,8.21,N/A
MAE110,9.69,3.02
MAE110,12.6,2.76
MAE110,9.53,2.82
MAE110,8.52,2.64
MAE110,11.7,2.47
MAE110,7.33,2.66
MAE110,8.62,3.09
MAE110,8.17,2.78
MAE110,9.17,2.85
MAE110,7.71,2.23
MAE110,8.05,3.02
MAE110,7.81,3.14
MAE110,9.0,3.07
MAE110,8.66,2.57
MAE110,10.0,3.01
MAE110,7.74,2.79
MAE110,7.66,2.47
MAE110,8.1,N/A
MAE110,8.9,2.64
MAE110,8.54,2.62
MAE110,9.5,2.55
MAE110,8.14,3.12
MAE110,10.15,2.49
MAE110,8.01,3.07
MAE110,8.53,2.79
MAE110,10.75,N/A
MAE110,9.18,2.45
MAE110,6.37,2.63
MAE110,10.94,N/A
MAE110,8.25,N/A
MAE110,6.2,2.40
MAE110,7.44,2.87
MAE110,10.5,N/A
MAE110,8.91,2.46
MAE110,8.64,2.56
MAE110,10.59,N/A

