Class,Avg Hours Studied,Avg Grade
MAE131A,6.0,N/A
MAE131A,7.88,2.85
MAE131A,8.35,3.15
MAE131A,6.35,2.78
MAE131A,6.68,3.02
MAE131A,8.0,N/A
MAE131A,5.91,2.85
MAE131A,7.74,3.14
MAE131A,6.36,3.45
MAE131A,6.15,3.41
MAE131A,8.5,2.55
MAE131A,6.06,2.90
MAE131A,5.59,3.16
MAE131A,6.96,2.66
MAE131A,6.5,3.77
MAE131A,7.83,N/A
MAE131A,5.42,3.62
MAE131A,6.5,2.96
MAE131A,5.17,3.18
MAE131A,5.47,3.28
MAE131A,6.21,2.89
MAE131A,6.06,3.12
MAE131A,11.5,2.96
MAE131A,10.0,2.96
MAE131A,6.2,3.15
MAE131A,6.5,3.15
MAE131A,7.17,2.41
MAE131A,10.06,2.41
MAE131A,7.3,2.93
MAE131A,8.0,2.93
MAE131A,9.17,2.85
MAE131A,8.96,2.85
MAE131A,6.19,2.82
MAE131A,7.81,2.77
MAE131A,6.63,3.11
MAE131A,9.59,N/A
MAE131A,6.37,2.92
MAE131A,6.52,2.39
MAE131A,6.82,2.83
MAE131A,10.75,N/A
MAE131A,5.55,2.67
MAE131A,6.82,2.50
MAE131A,6.83,2.50
MAE131A,5.92,3.10
MAE131A,9.15,N/A
MAE131A,6.74,2.54
MAE131A,6.63,2.70
MAE131A,6.74,3.50
MAE131A,7.83,N/A

