Class,Avg Hours Studied,Avg Grade
MATH20B,6.79,N/A
MATH20B,6.5,N/A
MATH20B,7.41,N/A
MATH20B,6.39,N/A
MATH20B,6.3,2.30
MATH20B,8.38,2.29
MATH20B,5.98,2.85
MATH20B,7.77,2.59
MATH20B,7.5,2.37
MATH20B,7.93,1.60
MATH20B,7.56,2.25
MATH20B,7.7,2.45
MATH20B,6.7,2.28
MATH20B,7.28,2.38
MATH20B,7.78,2.51
MATH20B,7.03,2.57
MATH20B,6.93,2.46
MATH20B,6.29,3.10
MATH20B,6.97,2.32
MATH20B,7.86,2.66
MATH20B,8.98,N/A
MATH20B,11.67,2.31
MATH20B,6.45,2.25
MATH20B,7.09,2.43
MATH20B,7.75,2.21
MATH20B,6.75,2.79
MATH20B,7.21,2.69
MATH20B,7.61,2.32
MATH20B,7.49,2.56
MATH20B,7.21,2.40
MATH20B,5.41,3.19
MATH20B,7.17,2.75
MATH20B,5.46,2.66
MATH20B,10.59,2.85
MATH20B,9.42,2.84
MATH20B,7.11,2.63
MATH20B,5.35,2.63
MATH20B,7.37,2.33
MATH20B,6.36,3.13
MATH20B,5.91,2.36
MATH20B,6.47,2.63
MATH20B,7.46,2.66
MATH20B,6.5,3.18
MATH20B,6.69,2.47
MATH20B,5.95,2.83
MATH20B,5.15,3.07
MATH20B,8.5,2.66
MATH20B,8.65,2.65
MATH20B,6.69,2.17
MATH20B,6.7,1.91
MATH20B,6.34,2.66
MATH20B,6.72,2.52
MATH20B,6.73,2.23
MATH20B,6.38,2.38
MATH20B,6.18,3.05
MATH20B,7.19,2.41
MATH20B,6.5,2.70
MATH20B,6.62,3.22
MATH20B,6.3,3.10
MATH20B,9.88,2.66
MATH20B,7.9,3.08
MATH20B,6.16,2.27
MATH20B,6.68,2.43
MATH20B,6.29,2.45
MATH20B,6.1,2.88
MATH20B,5.88,2.80
MATH20B,5.99,2.58
MATH20B,7.22,2.77
MATH20B,5.67,2.85
MATH20B,6.2,3.03
MATH20B,6.3,2.75
MATH20B,6.44,2.69
MATH20B,9.17,3.11
MATH20B,8.14,2.81
MATH20B,6.32,2.66
MATH20B,5.02,2.66
MATH20B,4.77,2.52
MATH20B,6.11,2.53
MATH20B,6.01,2.44
MATH20B,5.77,2.66
MATH20B,5.5,2.58
MATH20B,7.37,2.19
MATH20B,6.48,2.77
MATH20B,6.66,2.53
MATH20B,6.23,2.70
MATH20B,8.03,2.91
MATH20B,7.79,2.46
MATH20B,6.91,2.41
MATH20B,7.7,2.52
MATH20B,7.12,2.45
MATH20B,7.15,1.94
MATH20B,7.39,2.63
MATH20B,6.05,2.72
MATH20B,6.63,2.66
MATH20B,6.59,2.47
MATH20B,6.5,2.92
MATH20B,11.1,2.45
MATH20B,7.42,2.88
MATH20B,6.86,2.68
MATH20B,6.16,2.28
MATH20B,5.76,2.64
MATH20B,6.05,2.57
MATH20B,6.05,2.77
MATH20B,6.77,2.84
MATH20B,5.8,2.83
MATH20B,6.48,2.87
MATH20B,5.6,2.71
MATH20B,9.17,N/A
MATH20B,9.17,N/A
MATH20B,6.71,2.56
MATH20B,6.45,2.56
MATH20B,5.72,2.52
MATH20B,6.13,2.56
MATH20B,4.86,2.83
MATH20B,4.9,2.66
MATH20B,4.74,2.72
MATH20B,3.71,2.74
MATH20B,9.7,N/A
MATH20B,8.72,N/A
MATH20B,5.27,2.54
MATH20B,5.69,2.53
MATH20B,4.93,2.71
MATH20B,4.95,2.58
MATH20B,4.89,2.75
MATH20B,5.12,2.80
MATH20B,4.78,2.79
MATH20B,4.76,2.50
MATH20B,5.34,2.53
MATH20B,5.59,2.80
MATH20B,8.72,N/A
MATH20B,7.05,N/A
MATH20B,5.53,2.63
MATH20B,4.24,2.79
MATH20B,5.44,2.39
MATH20B,4.5,2.43
MATH20B,4.97,2.40
MATH20B,5.48,2.72
MATH20B,6.02,2.43
MATH20B,5.93,2.71
MATH20B,5.64,2.60
MATH20B,5.11,2.62
MATH20B,7.15,N/A

