Class,Avg Hours Studied,Avg Grade
MATH20F,6.36,N/A
MATH20F,5.73,N/A
MATH20F,6.19,N/A
MATH20F,6.73,N/A
MATH20F,5.83,N/A
MATH20F,7.47,2.78
MATH20F,5.52,3.26
MATH20F,6.58,2.68
MATH20F,5.22,3.12
MATH20F,7.55,2.96
MATH20F,7.28,2.72
MATH20F,8.66,2.87
MATH20F,9.02,2.95
MATH20F,6.15,2.62
MATH20F,5.89,2.89
MATH20F,5.44,3.14
MATH20F,6.46,2.81
MATH20F,5.29,3.66
MATH20F,5.58,3.31
MATH20F,5.75,2.80
MATH20F,7.22,3.12
MATH20F,5.24,3.44
MATH20F,6.69,3.51
MATH20F,6.13,3.20
MATH20F,6.28,2.93
MATH20F,6.55,3.27
MATH20F,6.69,3.22
MATH20F,9.68,N/A
MATH20F,7.95,2.73
MATH20F,6.99,2.49
MATH20F,6.69,2.53
MATH20F,5.82,2.77
MATH20F,6.85,2.76
MATH20F,6.12,2.76
MATH20F,8.34,2.80
MATH20F,7.14,2.77
MATH20F,6.71,2.73
MATH20F,5.33,3.24
MATH20F,6.58,2.71
MATH20F,8.54,2.33
MATH20F,8.76,2.54
MATH20F,6.28,2.40
MATH20F,6.48,2.52
MATH20F,6.08,2.76
MATH20F,6.16,2.32
MATH20F,6.54,2.60
MATH20F,5.83,2.63
MATH20F,6.1,2.70
MATH20F,5.78,2.95
MATH20F,6.5,2.71
MATH20F,7.81,2.63
MATH20F,5.32,N/A
MATH20F,6.8,2.68
MATH20F,6.43,2.88
MATH20F,8.92,3.11
MATH20F,7.64,2.84
MATH20F,6.53,2.66
MATH20F,6.01,2.58
MATH20F,5.64,2.63
MATH20F,6.16,2.90
MATH20F,6.52,2.92
MATH20F,4.65,3.13
MATH20F,5.34,3.67
MATH20F,6.42,2.54
MATH20F,5.32,3.26
MATH20F,7.4,3.40
MATH20F,5.73,2.85
MATH20F,4.92,3.52
MATH20F,9.36,2.69
MATH20F,7.0,2.74
MATH20F,5.83,2.91
MATH20F,5.97,2.73
MATH20F,5.54,2.81
MATH20F,5.22,2.93
MATH20F,6.25,2.62
MATH20F,5.81,2.60
MATH20F,5.12,2.51
MATH20F,6.36,2.86
MATH20F,6.76,3.03
MATH20F,5.38,2.90
MATH20F,5.84,3.35
MATH20F,6.45,2.65
MATH20F,8.57,2.50
MATH20F,8.74,2.59
MATH20F,6.33,2.76
MATH20F,6.75,2.76
MATH20F,6.58,2.28
MATH20F,6.35,2.89
MATH20F,6.36,3.05
MATH20F,6.12,2.78
MATH20F,6.24,2.80
MATH20F,6.79,2.57
MATH20F,6.69,2.77
MATH20F,5.69,2.53
MATH20F,6.89,3.19
MATH20F,7.84,2.45
MATH20F,9.81,2.74
MATH20F,8.74,2.90
MATH20F,6.87,2.44
MATH20F,7.05,2.43
MATH20F,7.01,2.88
MATH20F,7.2,2.49
MATH20F,5.71,2.87
MATH20F,6.29,2.82
MATH20F,6.3,2.76
MATH20F,6.22,2.77
MATH20F,7.13,2.79
MATH20F,5.87,3.17
MATH20F,7.18,2.54
MATH20F,9.31,2.79
MATH20F,9.33,2.78
MATH20F,6.1,2.96
MATH20F,5.9,2.72
MATH20F,5.21,2.73
MATH20F,6.29,2.90
MATH20F,5.96,2.64
MATH20F,5.99,2.80
MATH20F,5.85,2.77
MATH20F,6.77,2.65
MATH20F,5.38,2.73
MATH20F,6.8,2.35
MATH20F,6.97,2.40
MATH20F,5.97,2.72
MATH20F,8.21,N/A
MATH20F,8.12,N/A
MATH20F,6.5,2.52
MATH20F,7.46,2.68
MATH20F,6.6,2.76
MATH20F,6.32,2.82
MATH20F,5.57,2.88
MATH20F,4.79,2.75
MATH20F,5.43,2.69
MATH20F,4.84,2.85
MATH20F,6.0,2.82
MATH20F,5.04,2.74
MATH20F,5.22,2.77
MATH20F,7.58,N/A
MATH20F,10.81,N/A
MATH20F,4.41,2.71
MATH20F,4.33,2.84
MATH20F,5.03,2.66
MATH20F,5.05,3.01
MATH20F,4.44,2.96
MATH20F,3.58,2.77
MATH20F,5.09,2.62
MATH20F,4.93,2.79
MATH20F,5.6,2.82
MATH20F,5.14,2.70
MATH20F,4.63,2.32
MATH20F,8.62,N/A
MATH20F,6.83,N/A
MATH20F,5.4,2.42
MATH20F,5.18,2.39
MATH20F,5.3,2.64
MATH20F,5.13,2.29
MATH20F,4.5,2.62
MATH20F,5.21,2.73
MATH20F,4.36,2.90
MATH20F,4.94,2.70
MATH20F,4.34,2.89
MATH20F,5.02,2.54
MATH20F,4.57,2.79
MATH20F,5.32,2.80
MATH20F,5.48,2.45
MATH20F,7.3,N/A

