Class,Avg Hours Studied,Avg Grade
CGS100,4.14,3.56
CGS100,5.0,N/A
CGS100,4.5,N/A
CGS100,3.61,3.62
CGS100,5.58,3.08
CGS100,4.62,3.59
CGS100,7.5,3.66
CGS100,6.3,3.46
CGS100,6.57,3.69
CGS100,6.98,3.58
CGS100,7.0,N/A
CGS100,5.5,3.45
CGS100,6.28,N/A
CGS100,4.63,3.51
CGS100,6.62,N/A
CGS100,4.06,N/A
CGS101,4.74,N/A
CGS101,5.58,3.78
CGS101,3.91,3.69
CGS101,5.42,3.83
CGS101,4.27,3.48
CGS101,6.07,2.97
CGS101,5.03,3.39
CGS101,6.79,3.56
CGS101,8.72,N/A
CGS101,6.2,3.39
CGS101,6.32,N/A
CGS101,4.35,3.74
CGS101,6.21,N/A
CGS101,5.2,3.74
HIEA13_,5.67,2.60
HIEA13_,6.9,N/A
HIEA13_,11.83,N/A
HIEA13_,5.33,3.62
HIEA13_,5.83,3.36
HIEA13_,7.2,3.71
HIEA13_,4.82,3.14
HIEA13_,8.39,3.86
HIEA13_,4.64,3.07
HIEA13_,5.17,2.94
HIEA13_,7.62,3.32
HIEA13_,8.94,2.94
HIEA13_,6.17,3.81
HIEA13_,5.83,2.79
HIEA13_,4.5,2.83
HIEA13_,5.59,N/A
HIEA13_,8.77,N/A
HIEA13_,6.14,3.47
HIEA13_,3.5,3.11
HIEA13_,1.83,N/A
HIEA13_,7.7,3.76
HIEA13_,3.5,3.01
HIEA13_,5.3,3.08
HIEA13_,4.85,3.30
HIEA13_,6.4,2.55
HIEA13_,5.32,2.83
HIEA13_,7.0,2.88
HIEA13_,4.5,3.48
HIEA13_,10.92,3.74
HIEA13_,6.12,3.32
HIEA13_,4.75,3.38
HIEA13_,8.56,3.09
HIEA13_,6.81,2.94
HIEA13_,6.33,3.16
HIEA13_,6.5,2.88
HIEA13_,8.17,3.02
HIEA13_,4.5,3.29
HIEA13_,5.99,3.16
HIEA13_,5.39,2.84
HIEA13_,3.5,2.84
HIEA13_,4.09,2.76
HIEA13_,7.31,3.02
HIEA13_,7.87,N/A
HIEA13_,4.65,N/A
HIEA13_,4.61,N/A
HIEA13_,5.17,3.32
HIEA13_,8.11,2.78
HIEA13_,5.42,3.35
HIEA13_,9.19,3.62
HIEA13_,4.46,2.69
HIEA13_,7.0,N/A
HIEA13_,4.5,N/A
HIEA13_,5.93,2.68
HIEA13_,4.04,3.16
HIEA13_,5.19,3.02
HIEA13_,7.27,N/A
HIEA13_,5.63,N/A
HIEA13_,4.54,3.30
HIEA13_,7.65,3.53
HIEA13_,3.98,3.19
HIEA13_,5.82,2.80
HIEA13_,5.15,3.15
HIEA13_,3.39,2.97
HIEA13_,6.36,N/A
HIEA13_,4.78,N/A
HIEA13_,5.59,N/A
HIUS180,8.0,N/A
HIUS180,6.0,N/A
HIUS180,7.83,N/A
HIUS180,8.5,N/A
HIUS180,8.0,N/A
HIUS180,8.0,N/A
HIUS186,7.0,N/A
HIUS186,8.28,N/A
HIUS186,7.83,3.79
HIUS186,10.75,N/A
HIUS186,9.83,N/A
LIGN101,3.67,N/A
LIGN101,4.1,3.36
LIGN101,5.3,3.67
LIGN101,3.33,3.11
LIGN101,4.06,3.05
LIGN101,4.32,2.86
LIGN101,4.63,3.02
LIGN101,4.66,3.11
LIGN101,4.24,2.85
LIGN101,6.79,N/A
LIGN101,3.14,3.48
LIGN101,4.95,3.23
LIGN101,3.9,3.46
LIGN101,5.5,3.24
LIGN101,5.48,3.19
LIGN101,5.0,N/A
LIGN101,5.1,3.29
LIGN101,5.04,3.23
LIGN101,6.21,3.17
LIGN101,5.02,3.36
LIGN101,4.55,3.10
LIGN101,8.12,3.10
LIGN101,4.12,3.10
LIGN101,5.28,3.33
LIGN101,6.38,N/A
LIGN101,4.5,3.02
LIGN101,4.0,3.14
LIGN101,4.62,3.51
LIGN101,4.17,3.20
LIGN101,3.42,3.05
LIGN101,4.22,2.47
LIGN101,3.93,3.11
LIGN101,4.1,2.98
LIGN101,3.76,3.00
LIGN110,4.5,N/A
LIGN110,3.8,3.56
LIGN110,4.5,3.64
LIGN110,4.6,3.37
LIGN110,4.46,3.57
LIGN110,5.22,3.46
LIGN110,4.83,3.30
LIGN110,4.33,3.09
LIGN110,3.58,3.58
LIGN110,3.85,3.50
LIGN110,2.41,3.61
LIGN110,3.1,3.39
LIGN110,3.01,3.40
LIGN111,6.34,N/A
LIGN111,7.13,3.08
LIGN111,5.15,3.18
LIGN111,5.94,3.52
LIGN111,5.94,3.16
LIGN111,6.84,3.37
LIGN111,6.17,2.84
LIGN111,6.46,3.33
LIGN111,5.36,3.36
LIGN111,6.45,3.12
LIGN111,6.36,3.13
LIGN111,4.5,3.20
LIGN130,4.18,3.21
LIGN130,3.59,3.18
LIGN130,4.5,3.16
LIGN130,4.67,3.30
LIGN130,4.29,2.99
LIGN130,4.5,3.20
LIGN130,4.34,2.98
LIGN130,4.47,3.24
LIGN130,3.98,3.29
LIGN130,3.55,3.20
LIGN130,2.96,3.03
LTEN149,5.0,N/A
LTEN149,8.0,3.71
LTEN149,5.27,3.76
LTEN149,2.5,N/A
LTEN149,7.75,N/A
LTEN149,9.93,N/A
LTEN149,5.5,N/A
LTEN149,8.04,N/A
LTEN149,5.5,N/A
LTEN149,7.83,N/A
LTEN149,7.5,N/A
LTEN149,5.5,N/A
LTEN149,7.17,N/A
LTEN149,8.5,N/A
LTEN149,7.7,N/A
LTEN149,6.5,4.00
LTEN149,6.5,3.59
LTEN149,4.9,N/A
LTEN149,6.2,3.61
LTEN149,6.06,N/A
LTEN149,6.5,N/A
LTEN149,5.63,3.17
LTEU158,5.83,3.53
LTEU158,6.25,N/A
LTEU158,7.0,N/A
LTEU158,4.9,3.49
LTEU158,6.5,N/A
LTEU158,5.36,N/A
LTEU158,5.0,N/A
LTEU158,5.83,N/A
LTEU158,6.0,N/A
LTEU158,7.9,3.62
LTEU158,3.6,3.18
LTEU158,6.02,2.82
LTEU158,6.5,N/A
LTEU158,7.17,N/A
LTTH110,5.91,3.88
LTTH110,8.75,N/A
LTTH110,4.79,N/A
LTTH110,5.64,N/A
LTWR148,7.75,3.77
LTWR148,5.3,3.48
LTWR148,4.21,3.90
LTWR148,6.5,3.70
LTWR148,7.17,N/A
LTWR148,6.25,N/A
LTWR148,6.83,N/A
LTWR148,6.86,3.81
LTWR148,8.21,3.68
LTWR148,5.5,3.57
LTWR148,6.77,3.50
LTWR148,5.28,3.30
LTWR148,7.88,N/A
MUS101,6.83,N/A
MUS101,7.27,3.23
MUS101,4.5,3.44
MUS101,6.5,3.42
MUS101,6.06,3.39
MUS101,5.61,N/A
MUS101,5.5,N/A
MUS101,5.25,N/A
MUS101,10.5,N/A
MUS101,5.7,N/A
MUS101,6.5,N/A
MUS101,4.5,N/A
MUS101,7.64,N/A
MUS101,3.0,N/A
MUS101,9.83,N/A
MUS101,6.0,N/A
MUS101,4.5,N/A
MUS101,3.17,3.45
MUS101,6.1,3.00
MUS101,10.5,N/A
MUS101,7.08,3.25
MUS101,4.88,3.13
MUS101,5.83,2.67
MUS101,5.07,3.29
MUS101,4.39,2.99
MUS101,4.68,3.02
MUS101,6.63,3.17
MUS101,6.31,3.27
MUS101,5.32,2.92
MUS101,5.8,3.55
MUS101,5.17,3.23
MUS101,5.0,N/A
MUS101,4.17,3.20
MUS101,4.62,3.03
POLI11_,7.0,N/A
POLI11_,2.5,N/A
POLI11_,5.59,N/A
POLI11_,3.67,N/A
POLI11_,3.67,N/A
POLI11_,4.27,N/A
POLI11_,6.5,3.16
POLI11_,3.25,3.94
POLI11_,3.46,3.94
POLI11_,4.74,3.18
POLI11_,7.83,N/A
POLI11_,7.17,N/A
POLI11_,4.63,3.86
POLI11_,6.0,N/A
POLI11_,6.38,3.17
POLI11_,7.5,3.25
POLI11_,6.98,3.18
POLI11_,3.88,3.13
POLI11_,4.26,3.54
POLI11_,4.81,3.48
POLI11_,4.64,3.48
POLI11_,4.2,3.30
POLI11_,7.79,3.08
POLI11_,4.18,3.92
POLI11_,3.65,3.92
POLI11_,5.01,2.86
POLI11_,5.61,3.49
POLI11_,5.09,3.97
POLI11_,4.21,3.14
POLI11_,5.7,N/A
POLI11_,5.17,N/A
POLI11_,4.5,3.78
POLI11_,4.5,3.78
POLI11_,5.38,3.17
POLI11_,7.39,3.46
