Artist,Song,First Week Charted,Last Week Charted,Lyrics,Peak Position,Weeks on Chart
Al Terry,Watch Dog,1960-02-29,1960-02-29,"

If you see a baby that you think would suit me
Turn around and run her down and chase her back to me
Watch dog, watch dog
If you can do what I think you can do for me
I'll give you a home
When I have to leave the house and baby wants to play
Don't ever sleep, be sure you keep everyone away
Watch dog, watch dog
If you can do what I think you can do for me
I'll give you a home
You won't have to chase around for rabbits in the cold
All I want from you is just to do what you are told
If a stranger comes around when I'm away from home
Just be sure he gets the fear and leave my chicks alone
When my baby kisses me, it knocks me off my heels
When a rabbit slaps you down, you know just how I deal
Watch dog, watch dog
If you can do what I think you can do for me
I'll give you a home
When I have to leave the house and baby wants to play
Don't ever sleep, be sure you keep everyone away
Watch dog, watch dog
If you can do what I think you can do for me
I'll give you a home
You won't have to chase around for rabbits in the cold
All I want from you is just to do what you are told
If a stranger comes around when I'm away from home
Just be sure he gets the fear and leave my chicks alone
When my baby kisses me, it knocks me off my heels
When a rabbit slaps you down, you know just how I deal
Watch dog, watch dog
If you can do what I think you can do for me
I'll give you a home

",28,1
Anne Murray,A Stranger In My Place,1971-03-22,1971-05-31,"

I see the town
Where we were born
I see the place
We were raised
I see all the things you wanted
That I never gave
I see sadness
I see sorrow
I see pain in your face
But I just can't see
A stranger in my place
I can see now
Where we quarrelled
I can see now I was wrong
I can see where you might weaken
When I wasn't strong
I see mem'ries of a love gone bad
That time cannot erase
But I just can't see
A stranger in my place
No one seems to know you quite like I do
No one knows the things
That make you cry
Looking back it seems
I never showed you
And now I lay alone
And wonder why
I can see now
Where you might grow tired of dreams
That don't come true
I can see where
I have fallen short
Of the things I promised you
I can see now through
My tear filled eyes no love on your face
But I just can't see a stranger in my place

",27,11
Anne Murray,Cotton Jenny,1972-01-31,1972-04-24,"

There's a house on a hill
By a worn down weathered old mill
In a valley below where the river winds
There's no such thing as bad times

And a soft southern flame, oh Cotton Jenny's her name
And she wakes him up when the sun goes down
And the wheel of love goes round
Wheels of love go round, love go round
Love go round, a joyful sound

He ain't got a penny for Cotton Jenny to spend
But then the wheels go round

When the new day begins, he goes down to the cotton gin
And he makes his time worth while to then
Then he climbs back up again
And she waits by the door, oh Cotton Jenny he's sore
And she rubs his feet while the sun goes down
And the wheel of love goes round
Wheels of love go round, love go round
Love go round, a joyful sound

He ain't got a penny for Cotton Jenny to spend
But then the wheels go round
Wheels of love go round, love go round
Love go round, a joyful sound

He ain't got a penny for Cotton Jenny to spend
But then the wheels go round
Wheels go round
Wheels go round
Love go round
Love go round
Love go round

",11,13
Anne Murray,Danny's Song,1973-01-08,1973-04-09,"

People smile and tell me I'm the lucky one
And we've just begun
I think I'm gonna have a son
He will be like him and me, as free as a dove
Conceived in love
The sun is gonna shine above

And even though we ain't got money
I'm so in love with you honey
Everything will bring a chain of love
And in the morning when I rise
Bring a tear of joy to my eyes
And tell me everything's gonna be all right

Love a guy who holds the world in a paper cup
Drink it up
Love him and he'll bring you luck
And if you find he helps your mind, better take him home
Yeah, and don't you live alone
Try to earn what lovers own

And even though we ain't got money
I'm so in love with you honey
Everything will bring a chain of love
And in the morning when I rise
Bring a tear of joy to my eyes
And tell me everything's gonna be all right

And even though we ain't got money
I'm so in love with you honey
Everything will bring a chain of love
And in the morning when I rise
Bring a tear of joy to my eyes
And tell me everything's gonna be all right

",10,14
Anne Murray,He Thinks I Still Care,1974-05-13,1974-05-13,"

Just because I ask a friend about him
Just because I spoke his name somewhere
Just because I rang his number by mistake today
He thinks I still care

Just because I haunt the same old places
Where the memory of him lingers everywhere
Just because I'm not the happy girl I used to be
He thinks I still care

And if he's happy thinking I still need him
Then let that silly notion bring him cheer
But how could he ever be so foolish?
Or where would he get such an idea?

Just because I ask a friend about him
Just because I spoke his name somewhere
Just because I saw him, then went all to pieces
He thinks I still care

Yes, he thinks I still care

",39,1
Anne Murray,Love Song,1973-12-24,1974-03-25,"

There's a wren in a willow wood
Flies so high and sings so good
And he brings to you what he sings to you

Like my brother the wren and I
Well, he told if I try, I could fly for you
And I wanna try for you 'cause

I wanna sing you a love song
I wanna rock you in my arms all night long
I wanna get to know you
I wanna show you the peaceful feelin' of my home

Summer thunder on moon-bright days
Northern Lights and skies ablaze
And I bring to you, lover, when I sing to you

Silver wings in a fiery sky
Show the trail of my love and I
Sing to you, love is what I bring to you

And I wanna sing to you, oh

I wanna sing you a love song
I wanna rock you in my arms all night long
I wanna get to know you
I wanna show you the peaceful feelin' of my home

I wanna sing you a love song
I wanna rock you in my arms all night long
I wanna get to know you
I wanna show you the peaceful feelin' of my home

I wanna show you the peaceful feelin' of my home

",5,14
Anne Murray,SNOWBIRD,1970-08-10,1970-11-23,"

Beneath this snowy mantle cold and clean
The unborn grass lies waiting
For its coat to turn to green
The snowbird sings the song he always sings
And speaks to me of flowers
That will bloom again in spring

When I was young
My heart was young then, too
Anything that it would tell me
That's the thing that I would do
But now I feel such emptiness within
For the thing that I want most in life's
The thing that I can't win

Spread your tiny wings and fly away
And take the snow back with you
Where it came from on that day
The one I love forever is untrue
And if I could you know that I would
Fly away with you

The breeze along the river seems to say
That he'll only break my heart again
Should I decide to stay
So, little snowbird
Take me with you when you go
To that land of gentle breezes
Where the peaceful waters flow

Spread your tiny wings and fly away
And take the snow back with you
Where it came from on that day
The one I love forever is untrue
And if I could you know that I would
Fly away with you

Yeah, if I could I know that I would
Fl-y-y-y-y away with you

",10,16
Anne Murray,What About Me,1973-06-18,1973-07-30,"

[Chorus]
Hey hey hey, what about me?
I've got some feelings on my mind, too
Hey hey hey, what about me?
I'd like to have a song to sing, too

Please let me in when you're singing your song
And I'll just sit quiet, I won't try to sing along
You've got the warmest place that I've ever found
Please let me in, and I won't make a sound

(Chorus)
But, don't you ask me to give you a song
I won't know the words to use, I won't know where they belong
But if you give me one of yours, I will make it my own
And it would be the sweetest song that I have ever known

(Chorus)
I'd like to have a song to sing, too

",20,7
Anthony Armstrong Jones,Take A Letter Maria,1970-01-12,1970-03-09,"

[Verse 1]
Last night as I got home
About a half past ten
There was the woman I thought I knew
In the arms of another man

I kept my cool
I ain't no fool
Let me tell you what happened then
I packed some clothes
And I walked out
And I ain't coming back again

[Chorus]
So, take a letter, Maria
Address it to my wife
Say I won't be coming home
Gotta start a new life

So, take a letter, Maria
Address it to my wife
Send a copy to my lawyer
Gotta start a new life

You've been many things
But most of all
A good secretary to me
And it's times like this I feel
That you'll always be close to me

And was I wrong to work nights
To try to build a good life
All work and no play
Has just cost me a wife

[Chorus]
So, take a letter, Maria
Address it to my wife
Say I won't be coming home
Gotta start a new life
So, take a letter, Maria
Address it to my wife
Send a copy to my lawyer
Gotta start a new life

[Verse 2]
When a man loves a woman
It's hard to understand
That she would find more pleasure
In the arms of another man

Maria, I never really noticed
Just how sweet you are to me
It just so happens I'm free tonight
Would you like to have dinner with me?

[Chorus 2x]
So, take a letter, Maria
Address it to my wife
Say I won't be coming home
Gotta start a new life

So, take a letter, Maria
Address it to my wife
Send a copy to my lawyer
Gotta start a new life

So, take a letter, Maria
Address it to my wife
Say I won't be coming home
Gotta start a new life

So, take a letter, Maria
Address it to my wife
Send a copy to my lawyer
Gotta start a new life

Whoa, yeah
Take a letter, Maria
Whoa, yeah....

",8,9
Autry Inman,Ballad Of Two Brothers,1968-10-28,1969-01-27,"

Somewhere in Vietnam, September first
Dear, Mom and Dad
We must've marched twenty miles today
Through the rain and the mud
And believe it or not
This is the first opportunity
I've had to sit down and
Write in two or three weeks
This'll have to be short
But I just wanted to send my love
And let you know that I'm doing fine
But you know, just being here
And seeing how close these people
Are to losing their freedom
Makes me that much more determined
To help win this war
'Cause if we don't, the next battlefield
May be closer to home than Vietnam
Must close for now, all my love
Your son, Bud
P.S., how's Tommy doing
At State University
Tell him his big brother said hello
State University, September first
Hi, Dad, we must have
Marched twenty blocks today
And, baby, I'm beat
I mean, like the sign
I was carrying got real heavy
But, Dad, everything was out of sight
There were recorders and
Photographers and cameraman
From every major news
Service and network in the nation
So look for your baby boy's picture
On the front page of today's paper
Of course, you might have a
Little trouble recognizing me
With my groovy beard
But, Dad, I know we're right
How can you defend my brother
Murdering all those people overseas
So what if the Communists
Do take over in South Vietnam
Why, just today
Our economics professor assured us
That people get along
Just as well under communism
As they do under
Any other form of government
I'm sorry, Dad
But this God and country bit
Just isn't my bag
Gotta go, dad, big rally tonight
Your son, Tommy
P.S., Dad better send me an
Extra fifty bucks this week, dig
Dear Mr. and Mrs. Smith
I know you must be awfully
Proud of your fine son
I wish I could be there to
See you recieve Bud's medal of honor
It may comfort you to know
That his last thoughts were of you
And as his sergeant
I can truthfully say
He was one of the bravest men
I have ever known
Dear Mom and Dad
It's been some time
Since I received word about Bud
Somehow I just didn't have
The nerve to come home
But I've done a lot of thinking since then
About my turned on friends and
About what they said about communism
We were all wrong
And you know, I always just worship Bud
Now that I've thought it over, I know
That he would never fight for something
Unless he believed in it
With all of his heart
And in spite of all my past mistakes
I hope that somehow, someday
I can become as big in your eyes
As my brother will always be
Your son, Private Tommy Smith

",14,14
