,Event,Location,Date Reported,Incident/Case#,Date Occurred,Time Occurred,Summary:,Disposition:
0,Quiet Hours Contact,Sixth College Apartments,9/22/2011,110922001,9/22/2011,12:01 AM,,Information Only
1,Noise Disturbance,Village East 6,9/22/2011,110922003,9/22/2011,12:11 AM,Basketball game,Quiet On Arrival
2,Noise Disturbance,Cuzco Hall,9/22/2011,110922005,9/22/2011,12:21 AM,Loud party,Information Only
3,Noise Disturbance,South Mesa Apartments,9/22/2011,110922007,9/22/2011,12:56 AM,Loud talking and stomping,Quiet On Arrival
4,Citizen Flag Down,Gilman Dr/Myers Dr,9/22/2011,110922008,9/22/2011,1:02 AM,Subject locked out of vehicle,Information Only
5,Suspicious Vehicle,Visual Arts,9/22/2011,110922010,9/22/2011,1:31 AM,,Field Interview
6,Quiet Hours Contact,Matthews Apartments,9/22/2011,110922012,9/22/2011,2:12 AM,,Information Only
7,Medical Aid,Leichtag Biomedical Bldg,9/22/2011,110922016,9/22/2011,6:50 AM,Female with serious laceration to nose,Transported To Thornton Hospital By Friend
8,Missing Person,Challenger Hall,9/22/2011,110922019,9/22/2011,8:17 AM,Welfare check,Checks OK
9,Disturbance,UCTR 107,9/22/2011,2011‐1201,9/22/2011,9:01 AM,Male subject causing disturbance,Stay Away Order Issued
10,Information,La Jolla Village Dr,9/22/2011,110922027,9/22/2011,11:07 AM,Subject almost hit by UC vehicle while walking to office,Information Only
11,Illegal Parking,Glider Port,9/22/2011,110922032,9/22/2011,12:48 PM,,Information Only
12,Report Of Undefined Theft,Unknown,9/22/2011,110922034,9/22/2011,1:43 PM,Phone and passport missing,Information Only
13,Petty Theft,Bookstore,9/22/2011,2011‐1203,9/22/2011,3:15 PM,Loss: $391.65,"Closed By Citation, Adult"
14,Burglary Alarm,UCTR 301,9/22/2011,110922037,9/22/2011,3:47 PM,,False Alarm
15,Assist Other Agency,Lot 206,9/22/2011,110922038,9/22/2011,4:22 PM,Subject refusing to cooperate with parking representative,Information Only
16,Citizen Contact,Campus Services Complex Bldg B,9/22/2011,110922039,9/22/2011,4:35 PM,Complaint about parking,Referred To Other Agency
17,Citizen Contact,Lot 406,9/22/2011,110922040,9/22/2011,5:37 PM,Unable to locate vehicle,Vehicle Located
18,Incomplete Wireless Call,Pepper Canyon Hall,9/22/2011,110922043,9/22/2011,7:34 PM,,Checks OK
19,Incomplete Wireless Call,Warren Mall,9/22/2011,110922044,9/22/2011,9:01 PM,Accidental dial,Checks OK
20,Incomplete Wireless,Revelle Apartments,9/22/2011,110922046,9/22/2011,9:43 PM,Accidental dial,Checks OK
21,Incomplete Wireless Call,Sixth College Apartments,9/22/2011,110922048,9/22/2011,10:00 PM,,Checks OK
22,Noise Disturbance,The Village Bldg 2,9/22/2011,110922050,9/22/2011,10:45 PM,,Will Cooperate
23,Welfare Check,Europe Hall,9/22/2011,110922051,9/22/2011,10:52 PM,,Checks OK
24,Suspicious Vehicle,Pangea Parking Structure,9/22/2011,110922054,9/22/2011,11:23 PM,,Field Interview
25,Assist Other Agency,Torrey Pines/Glenbrook,9/22/2011,110922059,9/22/2011,11:44 AM,Traffic control,Information Only
26,Information,North Mesa Apartments,9/22/2011,110922061,9/22/2011,11:47 PM,Power outage,Information Only
27,Suspicious Person,Hopkins Dr/Rimac,9/22/2011,110922062,9/22/2011,11:51 PM,,Unable To Locate
28,Noise Disturbance,1 Miramar Bldg 4,9/7/2011,110907005,9/7/2011,2:37 AM,Loud television.,Unable To Locate
29,Suspicious Vehicle,Pacific Hall,9/7/2011,110907007,9/7/2011,7:30 AM,Furniture delivery.,Information Only
30,Burglary Alarm,Groundworks Books,9/7/2011,110907014,9/7/2011,10:12 AM,,False Alarm
31,Citizen Contact,Main Gym,9/7/2011,110907022,9/7/2011,12:48 PM,"Window of main gym broken by basketball player, unsure if accident or intentional.",Information Only
32,Bicyclist Stop,Lot 701,9/7/2011,110907024,9/7/2011,12:53 PM,,Cited
33,Citizen Contact,Pangea Parking Structure,9/7/2011,110907026,9/7/2011,2:56 PM,Owner of vehicle being verified for return of keys.,Information Only
34,Citizen Contact,Lot 705,9/7/2011,110907027,9/7/2011,5:16 PM,Directions.,Information Only
35,Citizen Contact,Voigt Dr/Gilman Dr,9/7/2011,110907028,9/7/2011,5:40 PM,Possible Alzheimer's subject driving.,Information Only
36,Citizen Flagdown,Scholars Dr South/Mandel Weiss,9/7/2011,110907029,9/7/2011,6:12 PM,Bus went down wrong way.,Information Only
37,Burglary Alarm,Multipurpose Room,9/7/2011,110907033,9/7/2011,8:05 PM,,False Alarm
38,Noise Disturbance,Pangea Parking Structure,9/7/2011,110907034,9/7/2011,10:00 PM,,Checks OK
39,Burglary Alarm,Multipurpose Room,9/7/2011,110907039,9/7/2011,11:56 PM,,False Alarm
40,Suspicious Vehicle,Glider Port,9/17/2011,110917001,9/17/2011,12:02 AM,,Field Interview
41,Suspicious Vehicle,Glider Port,9/17/2011,110917003,9/17/2011,12:29 AM,Sleeper.,Field Interview
42,Suspicious Vehicle,Glider Port,9/17/2011,110917005,9/17/2011,12:54 AM,,Field Interview
43,Quiet Hours Contact,Oceania Hall,9/17/2011,110917006,9/17/2011,2:04 AM,,Field Interview
44,Alcohol Contact,Asante Hall,9/17/2011,110917007,9/17/2011,2:19 AM,,Information Only
45,Quiet Hours Contact,Kathmandu,9/17/2011,110917008,9/17/2011,2:51 AM,,Will Cooperate
46,Suspicious Vehicle,school Of Medicine,9/17/2011,110917018,9/17/2011,9:01 AM,,Checks OK
47,Burglary Alarm,La Jolla Playhouse,9/17/2011,110917019,9/17/2011,9:24 AM,,False Alarm
48,Illegal Parking,Equality Ln,9/17/2011,110917020,9/17/2011,9:41 AM,,Information Only
49,Assist Other Agency,Biomedical Library,9/17/2011,110917021,9/17/2011,11:15 AM,Locate spouse for injured Deputy Sherriff.,Information Only
50,Illegal Parking,Lot 504,9/17/2011,110917025,9/17/2011,12:06 PM,,Checks OK
51,Incomplete Wireless Call,Revelle Plaza,9/17/2011,110917030,9/17/2011,1:56 PM,,Checks OK
52,Suspicious Person,Asante Hall,9/17/2011,110917031,9/17/2011,2:19 PM,,Gone On Arrival
53,Burglary Alarm,Biomedical Sciences Bldg,9/17/2011,110917035,9/17/2011,5:38 PM,,False Alarm
54,Welfare Check,North mesa Apartments,9/17/2011,110917040,9/17/2011,7:27 PM,Reporting party thought son was missing.,Checks OK
55,Information,VA Hospital Parking Lot,9/17/2011,110917042,9/17/2011,7:52 PM,Placard taken.,Information Only
56,Possession of Marijuana,The Village Bldg 1,9/17/2011,110917052,9/17/2011,9:21 PM,,Information Only
57,Burglary Alarm,Geisel Library,9/17/2011,110917054,9/17/2011,9:34 PM,,False Alarm
58,Medical Aid,Muir Commons,9/17/2011,110917059,9/17/2011,10:06 PM,"Male had mild seizure, conscious and breathing.",Referred To Other Agency
59,Driving Under The Influence,Lot 102,9/17/2011,2011‐1167,9/17/2011,11:15 PM,,Arrest Misdemeanor
60,Suspicious Person,Lot 102,9/17/2011,110917067,9/17/2011,11:53 AM,,Information Only
61,Noise Disturbance,Harlan Hall,9/29/2011,110929003,9/29/2011,12:09 AM,Loud music,Verbal Warning Issued
62,Assist Other Agency,Mobil Station,9/29/2011,110929004,9/29/2011,12:22 AM,Covering SDPD,Information Only
63,Suspicious Vehicle,Lot 782,9/29/2011,110929006,9/29/2011,12:48 AM,Sleeper,Will Cooperate
64,Disturbance,The Village Bldg 6,9/29/2011,110929017,9/29/2011,3:02 AM,Loud party,Will Cooperate
65,Suspicious Person,Matthews Apartments,9/29/2011,2011‐1236,9/29/2011,3:25 AM,Possible bike casers,"Closed By Citation, Adult"
66,Possession Of Marijuana,Tioga Hall,9/29/2011,2011‐1237,9/29/2011,3:40 AM,Confiscated,Information Only
67,Citizen Contact,Tenaya,9/29/2011,110929021,9/29/2011,3:58 AM,Sleeper,Information Only
68,Suspicious Vehicle,Hopkins Parking Structure,9/29/2011,110929023,9/29/2011,5:14 AM,,Checks OK
69,Lost Property,Lot 510,9/29/2011,110929025,9/29/2011,5:52 AM,Found by pay station,Information Only
70,Burglary Alarm,Price Center‐Rubio's,9/29/2011,110929029,9/29/2011,7:08 AM,,False Alarm
71,Incomplete Wireless Call,Russell Ln/Lyman Ln,9/29/2011,110929031,9/29/2011,7:53 AM,Accidental dial,Information Only
72,Burglary Alarm,Mandeville Art Gallery,9/29/2011,110929034,9/29/2011,8:28 AM,,False Alarm
73,Welfare Check,Stein Clinical Research Bldg,9/29/2011,110929044,9/29/2011,10:08 AM,Suspicious smell,Checks OK
74,Bicyclist Stop,Lyman Ln,9/29/2011,110929048,9/29/2011,10:59 AM,,Written Warning Issued
75,Suspicious Vehicle,Gilman Parking Structure,9/29/2011,110929052,9/29/2011,11:20 AM,Motorcycle on sidewalk,Verbal Warning Issued
76,Bicyclist Stop,Lot 408,9/29/2011,110929061,9/29/2011,2:11 AM,,Field Interview
77,Citizen Contact,Geisel Library,9/29/2011,110929064,9/29/2011,2:46 PM,Unable to locate vehicle,Information Only
78,Theft Of Bicycle,York Hall,9/29/2011,2011‐1242,9/29/2011,4:55 PM‐6:20 PM,Loss: $576.00,Report Taken
79,Noise Disturbance,York Hall,9/29/2011,110929071,9/29/2011,6:33 PM,Smoke detector,Referred To Other Agency
80,Bicyclist Stop,Gilman Dr,9/29/2011,110929074,9/29/2011,7:03 PM,,Verbal Warning Issued
81,Bicyclist Stop,Voigt Dr/Gilman Dr,9/29/2011,110929077,9/29/2011,7:19 PM,,Verbal Warning Issued
82,Possible Drunk Driver,Lot 604,9/29/2011,110929079,9/29/2011,7:47 PM,,Unable To Locate
83,Medical Aid,Price Center,9/29/2011,110929081,9/29/2011,8:52 PM,Male on floor with vomit on and around him,Unable To Locate
84,Assist Other Agency,Villa La Jolla Dr/La Jolla Village Dr,9/29/2011,110929082,9/29/2011,9:16 PM,Covering SDPD,Information Only
85,Possession Of Marijuana,Village East 1,9/29/2011,2011‐1243,9/29/2011,10:10 PM,Confiscated,Information Only
86,Assist Other Agency,Village East 1,9/29/2011,110929087,9/29/2011,10:34 PM,Covering SDPD,Information Only
87,Hit & Run,Lot 103,9/29/2011,2011‐1244,9/29/2011,10:50 PM,,Report Taken
88,Vandalism,Price Center,9/26/2011,2011‐1238,9/25/2011,12:00 AM‐9:00 AM,"Damaged art work, $500.00",Online Report
89,Petty Theft,Geisel Loop Bus Stop,9/23/2011,2011‐1239,9/22/2011,8:00 PM‐8:30 PM,Left purse on bench,Online Report
90,Petty Theft,Village Bldg West,9/26/2011,2011‐1240,09/25/2011‐09/26/2011,,Loss: $20.00 and two debit cards,Online Report
91,Welfare Check,Voigt Dr/Hopkins Dr,9/11/2011,2011‐1142,9/11/2011,12:05 AM,Arrestee requested medics for taking mushrooms. Subject was cleared by hospital staff.,Closed By Adult Arrest
92,Suspicious Person,Gilman Parking Structure,9/11/2011,110911002,9/11/2011,12:51 AM,,Information Only
93,Drunk Driving No Injuries,Lot 208,9/11/2011,110911003,9/11/2011,1:07 AM,,Gone On Arrival
94,Quiet Hours Contact,The Village Bldg 8,9/11/2011,110911006,9/11/2011,2:21 AM,,Will Cooperate
95,Burglar Alarm,Faculty Club,9/11/2011,110911026,9/11/2011,5:08 PM,,False Alarm
96,Fire Alarm,North Mesa Apartments,9/11/2011,110911034,9/11/2011,7:20 PM,Activated pull station.,False Alarm
97,Information,Goldberg Hall,9/11/2011,110911040,9/11/2011,9:00 PM,Open door.,Information Only
