Event,Location,Date Reported,Incident/Case#,Date Occurred,Time Occurred,Summary:,Disposition:
Quiet Hours Contact,Douglas Hall,9/11/2014,140911005,9/11/2014,3:16 AM,,Will Cooperate
Fire Alarm,York Hall,9/11/2014,140911011,9/11/2014,7:30 AM,,False Alarm
Drunk In Public,Mobil Station,9/11/2014,2014-1393,9/11/2014,8:56 AM,,Closed By Adult Arrest
Gas/Water/Sewer Leak,Center For Molecular Medicine,9/11/2014,140911026,9/11/2014,9:51 PM,Water detection alert,Referred To Other Agency- Facilities Management
Medical Aid,Campus Services Complex Bldg D,9/11/2014,140911029,9/11/2014,11:41 AM,Adult male experiencing chest pains,Transported To Hospital
Hit & Run - No Injuries,Lot 702,9/11/2014,140911036,9/11/2014,1:24 PM,"No hit & run/collision, other vehicle parked too close to reporting party's vehicle, assistanceneeded in backing out of parking space",Information Only
Fire Alarm,Tenaya Hall,9/11/2014,140911038,9/11/2014,2:59 PM,,False Alarm
Hit & Run - No Injuries,Lot 406,9/11/2014,2014-1395,9/11/2014,8:00 AM-9:50 PM,"Damage to driver side mirror, amount of damage $200.00",Report Taken
Information,Porters Pub,9/11/2014,140911052,9/11/2014,9:53 AM,"Per RSO, back door open and someone playing music inside, unknown if any current eventstaking place",Information Only
Security Alarm,Torrey Pines Center South,9/11/2014,140911054,9/11/2014,10:53 PM,,False Alarm
Illegal Parking,Russell Ln,9/11/14,140911055,9/11/14,11:26 PM,,Cited
Quiet Hours Contact,Marshall Apartments West,9/24/2014,1409240001,9/24/2014,12:31 AM,,Information Only
Noise Disturbance,North Mesa Apartments,9/24/2014,1409240002,9/24/2014,12:48 AM,Loud laughing and talking,Information Only
Welfare Check,The Village West Bldg 6,9/24/2014,1409240006,9/24/2014,3:42 AM,"Report of male screaming/grunting, subject was upset about being locked out of room",Field Interview
Suspicious Vehicle,Glider Port,9/24/2014,1409240007,9/24/2014,4:26 AM,,Information Only
Hit & Run-No Injuries,Lot 760,9/24/2014,2014-1443,9/23/2014,7:30 AM-5:30 PM,,Report Taken
