date,state,state code,n_killed,n_injured,latitude,longitude,Child 0-11(yrs) Involved,Teen 12-17(yrs) Involved,Adult 18+(yrs) Involved,min distance (mi) of MH per state
2016-01-01,Massachusetts,MA,0,1,42.2802,-71.0759,0,0,1,0.5376922776648001
2016-01-01,Connecticut,CT,0,0,41.5402,-72.7895,0,0,3,2.5071766369098842
2016-01-01,Missouri,MO,0,1,39.0979,-94.5221,0,0,0,1.1833190703644578
2016-01-01,Missouri,MO,0,1,39.1649,-94.5833,0,0,0,1.5283861057377919
2016-01-01,Wisconsin,WI,2,0,42.9655,-87.8576,1,0,1,2.0446046341863306
2016-01-01,Louisiana,LA,0,1,30.011,-90.2551,0,0,2,0.8596192141917607
2016-01-01,Florida,FL,1,0,28.0601,-81.9941,0,0,1,2.4045481839296725
2016-01-01,Pennsylvania,PA,0,0,40.0313,-76.3326,0,0,1,0.8138711431621853
2016-01-01,Pennsylvania,PA,0,1,39.9294,-75.1616,0,0,1,0.41875516982149297
2016-01-01,California,CA,1,0,33.8127,-118.26299999999999,0,1,0,2.073002856604319
2016-01-01,Tennessee,TN,0,0,35.9142,-84.1868,0,0,1,4.8210493635036915
2016-01-01,Minnesota,MN,1,0,44.9849,-93.2427,0,0,1,1.2129695420466924
2016-01-01,New York,NY,0,0,41.8418,-73.967,0,0,3,4.501903385920796
2016-01-01,New Jersey,NJ,0,1,40.926,-74.1703,0,0,1,0.48836236828451784
2016-01-01,Georgia,GA,1,0,32.0406,-81.1111,0,0,2,1.2848049096689882
2016-01-01,New York,NY,0,0,40.6743,-74.0041,0,0,0,1.1790288506487163
2016-01-01,Missouri,MO,0,0,37.0954,-94.5024,1,0,0,3.1003371236023116
2016-01-01,Virginia,VA,0,1,36.8681,-76.3993,0,0,0,3.6342250464459434
2016-01-01,Missouri,MO,0,0,38.88,-92.2582,0,0,1,2.8848709798575105
2016-01-01,Alabama,AL,0,1,30.691999999999997,-88.0418,0,0,1,1.7905171158565876
2016-01-01,Missouri,MO,0,0,39.0201,-92.2668,0,0,1,4.31921348243827
2016-01-01,Tennessee,TN,0,1,35.0759,-90.0131,0,0,1,1.4150291115427567
2016-01-01,Texas,TX,0,2,30.9081,-95.3583,0,0,5,18.04790594959634
2016-01-01,Florida,FL,2,1,26.1965,-80.2521,0,0,3,1.2241047723026297
2016-01-01,Missouri,MO,0,1,39.0918,-94.5836,0,0,0,0.22110037375850142
2016-01-01,Colorado,CO,0,0,39.0748,-108.491,0,0,1,1.6031659332050108
2016-01-01,Missouri,MO,0,1,38.941,-94.5183,0,0,0,2.325701036659674
2016-01-01,North Carolina,NC,0,2,35.3465,-80.8415,0,0,0,4.254813501376804
2016-01-01,Virginia,VA,0,1,36.8913,-76.2458,0,0,2,1.4615408768281484
2016-01-01,New Mexico,NM,0,1,36.7439,-108.20299999999999,0,0,2,1.5885227371879291
2016-01-01,Tennessee,TN,1,0,35.1199,-90.0511,0,0,1,1.7662148105819655
2016-01-01,California,CA,1,0,35.4053,-118.963,0,0,1,1.5958003902448998
2016-01-01,Alabama,AL,1,0,33.4527,-86.8918,0,0,2,3.922577860601191
2016-01-01,Nevada,NV,1,0,36.2766,-115.08,0,0,2,1.0031297250421598
2016-01-01,Texas,TX,1,0,29.7035,-95.5973,0,0,5,3.940555034421802
2016-01-01,Pennsylvania,PA,0,1,42.1234,-80.0918,0,0,1,0.12312502089832444
2016-01-01,Missouri,MO,1,0,39.0933,-94.3992,0,0,2,1.7857671921984648
2016-01-01,Florida,FL,1,0,30.4548,-81.7599,0,0,1,6.662450498469099
2016-01-01,Florida,FL,1,0,30.3322,-81.6556,0,0,1,0.33864502124126705
2016-01-01,Illinois,IL,0,1,41.7496,-87.5714,0,0,1,0.12381622926302965
2016-01-01,Michigan,MI,0,1,42.6723,-84.603,0,0,0,3.6501444763519966
2016-01-01,Florida,FL,0,0,27.7642,-82.6724,0,0,1,1.040607988617062
2016-01-01,Texas,TX,0,3,29.858,-95.4588,0,0,3,1.6490003497062642
2016-01-01,Kansas,KS,0,0,38.8017,-97.6175,0,0,1,2.232738811945628
2016-01-01,Illinois,IL,0,1,41.8781,-87.6298,0,0,1,1.111548750397204
2016-01-01,Louisiana,LA,0,1,29.9523,-90.3787,0,0,2,2.0096043885335932
2016-01-01,Missouri,MO,0,1,38.6904,-90.2433,0,0,1,2.169099032560804
2016-01-01,North Carolina,NC,0,1,35.7965,-80.3151,0,0,2,3.0084056632756297
2016-01-01,Virginia,VA,0,0,38.4781,-77.4102,0,0,1,12.330294944968978
2016-01-01,Illinois,IL,0,1,41.7867,-87.6938,0,0,1,0.5408673492813371
2016-01-01,Indiana,IN,0,1,39.7529,-86.1236,0,0,4,0.560406941044952
2016-01-01,Oregon,OR,0,0,42.3173,-122.868,0,0,0,0.556282280476131
2016-01-01,Florida,FL,0,0,27.7684,-82.6689,0,0,2,1.0001388248905512
2016-01-01,Illinois,IL,0,1,41.7274,-87.6012,0,0,1,2.2512239927442077
2016-01-01,California,CA,0,1,37.7663,-122.18,0,0,1,0.24543698996023314
2016-01-01,Illinois,IL,0,2,41.7157,-87.6605,0,0,2,1.6832894688883138
2016-01-01,Oklahoma,OK,0,0,36.2258,-95.9977,0,0,1,2.438701208657593
2016-01-01,Colorado,CO,1,0,38.8464,-104.723,0,0,1,3.5108455846364266
2016-01-01,Colorado,CO,0,1,39.735,-104.986,0,0,0,0.4047369891995362
2016-01-01,Colorado,CO,0,1,38.8023,-104.774,0,0,0,1.9794296439707744
2016-01-01,Pennsylvania,PA,1,0,41.3906,-74.7726,0,0,2,4.983960434857766
2016-01-01,Washington,WA,0,0,47.6483,-117.595,0,0,1,5.558948011618293
2016-01-01,Florida,FL,0,1,28.5317,-81.4594,1,0,0,2.8993669372158033
2016-01-01,Virginia,VA,0,3,36.5834,-79.3916,0,0,3,1.6659929625661725
2016-01-01,Mississippi,MS,1,0,31.5944,-91.361,0,0,1,3.4175167689811206
2016-01-01,Louisiana,LA,0,0,30.4087,-90.0413,0,0,2,2.376436634372322
2016-01-01,Washington,WA,0,0,47.6611,-117.432,0,0,1,0.21051563568628587
2016-01-01,Oklahoma,OK,1,0,34.632,-99.3481,0,0,1,0.8530290717614235
2016-01-01,Hawaii,HI,1,0,19.7297,-155.09,0,0,4,0.33269765598262346
2016-01-01,Texas,TX,0,0,29.9753,-95.4335,0,0,1,1.5100334593723557
2016-01-01,Oregon,OR,0,1,45.0049,-122.991,0,0,1,2.2449172442893466
2016-01-01,Texas,TX,0,1,29.5797,-98.3735,0,1,3,4.226876805447872
2016-01-01,Missouri,MO,1,0,39.2766,-94.4649,0,0,1,4.713136485837753
2016-01-01,Colorado,CO,0,0,40.0053,-105.12799999999999,0,0,1,5.715291799487174
2016-01-01,Ohio,OH,1,0,39.3714,-84.3633,0,0,1,1.8720942281530994
2016-01-01,North Carolina,NC,0,0,35.2771,-81.0697,0,0,1,6.758157414663349
2016-01-01,Texas,TX,0,0,30.5206,-95.6409,0,0,1,12.697969223584693
2016-01-01,Hawaii,HI,2,0,21.3247,-158.07299999999998,0,0,2,3.655829577350484
2016-01-01,Iowa,IA,0,0,42.4992,-92.331,0,0,1,2.5286234422624125
2016-01-01,Iowa,IA,0,1,42.4948,-92.3307,0,2,2,2.2424550862253674
