Avon and Somerset,Avon and Somerset,South Gloucestershire,Bath And North East Somerset,Bristol,North Somerset,East Somerset,West Somerset,Somerset,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedfordshire,Bedfordshire,Bedford,Central Bedfordshire,Luton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridgeshire,Cambridgeshire,Fenland,Peterborough,Cambridge,East Cambridgeshire,Huntingdonshire,South Cambridgeshire,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheshire,Cheshire,Cheshire East,Cheshire West and Chester,Halton,Warrington,Runcorn,Widnes,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of London,City of London,City of London,Inner Temple,Middle Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland,Cleveland,Cleveland,Hartlepool,Middlesbrough,Redcar and Cleveland,Stockton-on-Tees,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumbria,Cumbria,Cumbria,Carlisle,Eden,Barrow Borough,South Lakeland,Allerdale,Copeland,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbyshire,Derbyshire,Derbyshire,Buxton,Chesterfield,Bolsover,Derby,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devon and Cornwall,Devon and Cornwall,Devon,Cornwall,Plymouth,Torbay,Isles of Scilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorset,Dorset,Poole,Bournemouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Durham,Durham,County Durham,Darlington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyfed-Powys,Dyfed-Powys,Carmarthenshire,Ceredigion/Sir Ceredigion,Pembrokeshire,Dyfed,Powys,Brecknockshire,Radnorshire,Montgomeryshire,Ceredigion,,,,,,,,,,,,,,,,,,,,,,,,
Essex,Essex,Thurrock,Loughton,Waltham Abbey,Chigwell,Buckhurst Hill,Colchester,Southend-on-Sea,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloucestershire,Gloucestershire,Gloucestershire,Cheltenham,Gloucester,Forest of Dean,Cotswolds,Stroud,Tewkesbury,,,,,,,,,,,,,,,,,,,,,,,,,,
Greater Manchester,Greater Manchester,Greater Manchester,Newton Heath,Bolton,Bury,Oldham,Rochdale,Stockport,Tameside,Trafford,Wigan,Manchester,Salford,,,,,,,,,,,,,,,,,,,,,
Gwent,Gwent,Blaenau Gwent,Caerphilly,Monmouthshire,Newport,Torfaen,Newport/Casnewydd,Caerphilly/Caerffili,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampshire,Hampshire,Hampshire,Isle of Wight,Winchester,Southampton,Portsmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hertfordshire,Hertfordshire,Hertfordshire,Hemel Hempstead,Stevenage,Watford,St Albans,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humberside,Humberside,East Riding of Yorkshire,"Kingston upon Hull,",North East Lincolnshire,North Lincolnshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kent,Kent,Medway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lancashire,Lancashire,Blackpool,Flyde,Morecambe,Heysham,Wyre,Chorley,Preston,South Ribble,Chorley,West Lancashire,Blackburn,Ribble Valley,Accrington,Burnley,Pendle,Rossendale,Blackburn With Darwen,,,,,,,,,,,,,,,,
Leicestershire,Leicestershire,Leicestershire,North West Leicestershire,Loughborough,Charnwood,Melton,Rutland,Hinckley,Harborough,Oadby and Wigston,,,,,,,,,,,,,,,,,,,,,,,,
Lincolnshire,Lincolnshire,Lincoln,Market Rasen,Gainsborough,Grantham,Sleaford,North Hykeham,Bracebridge Heath,Market Deeping,Bourne,Stamford,Skegness,Mablethorpe,Louth,Horncastle,Boston,Spalding,Holbeach,Sutton Bridge,,,,,,,,,,,,,,,
Merseyside,Merseyside,Liverpool,Sefton,Wirral,St Helens,Knowsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitan Police,Metropolitan Police,Barking,Barnet,Bexley,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster,Barking And Dagenham,Brent
Norfolk,Norfolk,Norfolk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Wales,North Wales,Caernarfonshire,Anglesey,Wrexham/Wrecsam,Flintshire/Sir y Fflint,Denbighshire/Sir Ddinbych,Gwynedd,Conwy,Isle of Anglesey/Sir Ynys Mon,,Denbighshire,,,,,,,,,,,,,,,,,,,,,,,
North Yorkshire,North Yorkshire,North Yorkshire,York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northamptonshire,Northamptonshire,Brackley,Burton Latimer,Corby,Daventry,Desborough,Higham Ferrers,Irthlingborough,Kettering,Northampton,Oundle,Raunds,Rothwell,Rushden,Towcester,Thrapston,Wellingborough,,,,,,,,,,,,,,,,,
Northumbria,Northumbria,Northumberland,Newcastle upon Tyne,North Tyneside,Gateshead,Sunderland,South Tyneside,Tyne and Wear,,,,,,,,,,,,,,,,,,,,,,,,,,
Nottinghamshire,Nottinghamshire,Nottinghamshire,Nottingham,Rushcliffe,Bassetlaw,Mansfield,Neward and Sherwood,Ashfield,Gedling,Broxtowe,,,,,,,,,,,,,,,,,,,,,,,,
South Wales,South Wales,The Vale of Glamorgan/Bro Morgannwg,Cardiff,Bridgend,Merthyr Tydfil/Merthyr Tudful,Swansea/Abertawe,South Wales Valleys,Neath Port Talbot/Castell-Nedd Port Talbot,Pontypridd,Barry,Bridgend,Cardiff Bay,Cardiff Central,Rhondda Cynon Taff/Rhondda Cynon Taf,Pembrokeshire/Sir Benfro,Carmarthenshire/Sir Gaerfyrddin,Bridgend/Pen-y-Bont ar Ogwr,Monmouthshire/Sir Fynwy,Cardiff/Caerdydd,,,,,,,,,,,,,,,
South Yorkshire,South Yorkshire,South Yorkshire,Barnsley,Doncaster,Rotherham,Sheffield,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staffordshire,Staffordshire,Staffordshire,Stoke-on-Trent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suffolk,Suffolk,Suffolk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surrey,Surrey,Surrey,Epson and Ewell,Mole Valley,Tandridge,Reigate and Banstead,Spelthorne,Guildford,Woking,Elmbidge,Waverley,Surrey Heath,Runneymede,,,,,,,,,,,,,,,,,,,,,
Sussex,Sussex,Sussex,East Sussex,West Sussex,Brighton and Hove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thames Valley,Thames Valley,Slough,Berkshire,Buckinghamshire,Oxfordshire,Wokingham,West Berkshire,Windsor And Maidenhead,Bracknell Forest,Milton Keynes,Reading,,,,,,,,,,,,,,,,,,,,,,,
Warwickshire,Warwickshire,Warwickshire,North Warwickshire,Nuneaton ,Bedworth,Rugby,Stratford-on-Avon,Warwick,,,,,,,,,,,,,,,,,,,,,,,,,,
