index,review/appearance,review/aroma,review/overall,review/palate,review/taste
13803,3.9,3.9,3.9,3.9,3.9
13960,3.9,3.9,3.9,3.9,3.9
26737,3.9,3.9,3.9,3.9,3.9
5747,3.9,3.9,3.9,3.9,3.9
4074,3.9,3.9,3.9,3.9,3.9
33516,3.9,3.9,3.9,3.9,3.9
71,3.9,3.9,3.9,3.9,3.9
34427,3.9,3.9,3.9,3.9,3.9
1548,3.9,3.9,3.9,3.9,3.9
38369,3.9,3.9,3.9,3.9,3.9
14283,3.9,3.9,3.9,3.9,3.9
27140,3.9,3.9,3.9,3.9,3.9
46488,3.9,3.9,3.9,3.9,3.9
36855,3.9,3.9,3.9,3.9,3.9
37673,3.9,3.9,3.9,3.9,3.9
38584,3.9,3.9,3.9,3.9,3.9
15082,3.9,3.9,3.9,3.9,3.9
13221,3.9,3.9,3.9,3.9,3.9
7194,3.9,3.9,3.9,3.9,3.9
19132,3.9,3.9,3.9,3.9,3.9
5390,3.9,3.9,3.9,3.9,3.9
4901,3.9,3.9,3.9,3.9,3.9
3995,3.9,3.9,3.9,3.9,3.9
24574,3.9,3.9,3.9,3.9,3.9
16299,3.9,3.9,3.9,3.9,3.9
36427,3.9,3.9,3.9,3.9,3.9
24604,3.9,3.9,3.9,3.9,3.9
13004,3.9,3.9,3.9,3.9,3.9
27276,3.9,3.9,3.9,3.9,3.9
43658,3.9,3.9,3.9,3.9,3.9
36117,3.9,3.9,3.9,3.9,3.9
25930,3.9,3.9,3.9,3.9,3.9
39355,3.9,3.9,3.9,3.9,3.9
41680,3.9,3.9,3.9,3.9,3.9
13424,3.9,3.9,3.9,3.9,3.9
11705,3.9,3.9,3.9,3.9,3.9
7447,3.9,3.9,3.9,3.9,3.9
37029,3.9,3.9,3.9,3.9,3.9
24195,3.9,3.9,3.9,3.9,3.9
29588,3.9,3.9,3.9,3.9,3.9
35024,3.9,3.9,3.9,3.9,3.9
11518,3.9,3.9,3.9,3.9,3.9
25039,3.9,3.9,3.9,3.9,3.9
20279,3.9,3.9,3.9,3.9,3.9
15335,3.9,3.9,3.9,3.9,3.9
37429,3.9,3.9,3.9,3.9,3.9
2341,3.9,3.9,3.9,3.9,3.9
1882,3.9,3.9,3.9,3.9,3.9
7395,3.9,3.9,3.9,3.9,3.9
48097,3.9,3.9,3.9,3.9,3.9
15340,3.9,3.9,3.9,3.9,3.9
24396,3.9,3.9,3.9,3.9,3.9
26985,3.9,3.9,3.9,3.9,3.9
47797,3.9,3.9,3.9,3.9,3.9
25245,3.9,3.9,3.9,3.9,3.9
20937,3.9,3.9,3.9,3.9,3.9
21400,3.9,3.9,3.9,3.9,3.9
49862,3.9,3.9,3.9,3.9,3.9
28662,3.9,3.9,3.9,3.9,3.9
15610,3.9,3.9,3.9,3.9,3.9
5578,3.9,3.9,3.9,3.9,3.9
44788,3.9,3.9,3.9,3.9,3.9
3324,3.9,3.9,3.9,3.9,3.9
22369,3.9,3.9,3.9,3.9,3.9
813,3.9,3.9,3.9,3.9,3.9
2845,3.9,3.9,3.9,3.9,3.9
22992,3.9,3.9,3.9,3.9,3.9
16807,3.9,3.9,3.9,3.9,3.9
37697,3.9,3.9,3.9,3.9,3.9
46247,3.9,3.9,3.9,3.9,3.9
30581,3.9,3.9,3.9,3.9,3.9
32906,3.9,3.9,3.9,3.9,3.9
27228,3.9,3.9,3.9,3.9,3.9
15539,3.9,3.9,3.9,3.9,3.9
14033,3.9,3.9,3.9,3.9,3.9
44013,3.9,3.9,3.9,3.9,3.9
13048,3.9,3.9,3.9,3.9,3.9
25707,3.9,3.9,3.9,3.9,3.9
47760,3.9,3.9,3.9,3.9,3.9
38138,3.9,3.9,3.9,3.9,3.9
18755,3.9,3.9,3.9,3.9,3.9
17390,3.9,3.9,3.9,3.9,3.9
35787,3.9,3.9,3.9,3.9,3.9
2029,3.9,3.9,3.9,3.9,3.9
21475,3.9,3.9,3.9,3.9,3.9
21920,3.9,3.9,3.9,3.9,3.9
20298,3.9,3.9,3.9,3.9,3.9
35469,3.9,3.9,3.9,3.9,3.9
28221,3.9,3.9,3.9,3.9,3.9
11514,3.9,3.9,3.9,3.9,3.9
39651,3.9,3.9,3.9,3.9,3.9
45929,3.9,3.9,3.9,3.9,3.9
48482,3.9,3.9,3.9,3.9,3.9
41260,3.9,3.9,3.9,3.9,3.9
25241,3.9,3.9,3.9,3.9,3.9
42768,3.9,3.9,3.9,3.9,3.9
35332,3.9,3.9,3.9,3.9,3.9
13785,3.9,3.9,3.9,3.9,3.9
23812,3.9,3.9,3.9,3.9,3.9
3263,3.9,3.9,3.9,3.9,3.9
31931,3.9,3.9,3.9,3.9,3.9
49373,3.9,3.9,3.9,3.9,3.9
22686,3.9,3.9,3.9,3.9,3.9
22304,3.9,3.9,3.9,3.9,3.9
49161,3.9,3.9,3.9,3.9,3.9
17504,3.9,3.9,3.9,3.9,3.9
36546,3.9,3.9,3.9,3.9,3.9
47972,3.9,3.9,3.9,3.9,3.9
21002,3.9,3.9,3.9,3.9,3.9
37115,3.9,3.9,3.9,3.9,3.9
24417,3.9,3.9,3.9,3.9,3.9
11651,3.9,3.9,3.9,3.9,3.9
20024,3.9,3.9,3.9,3.9,3.9
36212,3.9,3.9,3.9,3.9,3.9
40784,3.9,3.9,3.9,3.9,3.9
9800,3.9,3.9,3.9,3.9,3.9
1474,3.9,3.9,3.9,3.9,3.9
34903,3.9,3.9,3.9,3.9,3.9
10612,3.9,3.9,3.9,3.9,3.9
