title,year,metascore,domestic_gross
Star Wars: Episode VII - The Force Awakens,(2015),81,"936,662,225"
Avengers: Endgame,(2019),78,"824,436,903"
Avatar,(2009),83,"760,507,625"
Black Panther,(2018),88,"700,059,566"
Avengers: Infinity War,(2018),68,"678,815,482"
Jurassic World,(2015),59,"652,270,625"
The Avengers,(2012),69,"623,357,910"
Star Wars: The Last Jedi,(2017),85,"620,181,382"
Incredibles 2,(2018),80,"608,581,744"
The Dark Knight,(2008),84,"534,858,444"
Rogue One: A Star Wars Story,(2016),65,"532,177,324"
Beauty and the Beast,(2017),65,"504,014,165"
Finding Dory,(2016),77,"486,295,561"
Avengers: Age of Ultron,(2015),66,"459,005,868"
The Dark Knight Rises,(2012),78,"448,139,099"
Shrek 2,(2004),75,"436,471,036"
Captain Marvel,(2019),64,"426,438,438"
The Hunger Games: Catching Fire,(2013),76,"424,668,047"
Pirates of the Caribbean: Dead Man's Chest,(2006),53,"423,315,812"
Jurassic World: Fallen Kingdom,(2018),51,"417,719,760"
Toy Story 3,(2010),92,"415,004,880"
Wonder Woman,(2017),76,"412,563,408"
Iron Man 3,(2013),62,"409,013,994"
Captain America: Civil War,(2016),75,"408,084,349"
The Hunger Games,(2012),68,"408,010,692"
Jumanji: Welcome to the Jungle,(2017),58,"404,515,480"
Spider-Man,(2002),73,"403,706,375"
Transformers: Revenge of the Fallen,(2009),35,"402,111,870"
Frozen,(I) (2013),74,"400,738,009"
Guardians of the Galaxy Vol. 2,(2017),67,"389,813,101"
Harry Potter and the Deathly Hallows: Part 2,(2011),87,"381,011,219"
Finding Nemo,(2003),90,"380,843,261"
Star Wars: Episode III - Revenge of the Sith,(2005),68,"380,262,555"
The Lord of the Rings: The Return of the King,(2003),94,"377,845,905"
Spider-Man 2,(2004),83,"373,585,825"
The Passion of the Christ,(2004),47,"370,782,930"
The Secret Life of Pets,(2016),61,"368,384,330"
Despicable Me 2,(2013),62,"368,061,265"
The Jungle Book,(2016),77,"364,001,123"
Deadpool,(2016),65,"363,070,709"
Inside Out,(I) (2015),94,"356,461,711"
Furious 7,(2015),67,"353,007,020"
Transformers: Dark of the Moon,(2011),42,"352,390,543"
American Sniper,(2014),72,"350,126,372"
The Lord of the Rings: The Two Towers,(2002),87,"342,551,365"
Zootopia,(2016),78,"341,268,248"
The Hunger Games: Mockingjay - Part 1,(2014),64,"337,135,885"
Spider-Man 3,(2007),59,"336,530,303"
Minions,(2015),56,"336,045,770"
Aquaman,(2018),55,"335,061,807"
Spider-Man: Homecoming,(2017),73,"334,201,140"
