countyState,GEOID,lon,lat,P_total,P_white,P_black,P_asian,P_native,P_hawaiian,P_others,P_below_middle_school,P_some_high_school,P_high_school_equivalent,P_some_college,P_bachelor_and_above,P_below_poverty,median_age,gini_index,median_household_income,median_rent_per_income,percent_no_internet,Year,State,CountyID,StateCountyName,AllAgesSAIPEPovertyUniverse,AllAgesinPovertyCount,AllAgesinPovertyCountLB90%,AllAgesinPovertyCountUB90%,90%ConfidenceInterval(AllAgesinPovertyCount),AllAgesinPovertyPercent,AllAgesinPovertyPercentLB90%,AllAgesinPovertyPercentUB90%,90%ConfidenceInterval(AllAgesinPovertyPercent),UnderAge18SAIPEPovertyUniverse,UnderAge18inPovertyCount,UnderAge18inPovertyCountLB90%,UnderAge18inPovertyCountUB90%,90%ConfidenceInterval(UnderAge18inPovertyCount),UnderAge18inPovertyPercent,UnderAge18inPovertyPercentLB90%,UnderAge18inPovertyPercentUB90%,90%ConfidenceInterval(UnderAge18inPovertyPercent),Ages5to17inFamiliesSAIPEPovertyUniverse,Ages5to17inFamiliesinPovertyCount,Ages5to17inFamiliesinPovertyCountLB90%,Ages5to17inFamiliesinPovertyCountUB90%,90%ConfidenceInterval(Ages5to17inFamiliesinPovertyCount),Ages5to17inFamiliesinPovertyPercent,Ages5to17inFamiliesinPovertyPercentLB90%,Ages5to17inFamiliesinPovertyPercentUB90%,90%ConfidenceInterval(Ages5to17inFamiliesinPovertyPercent),UnderAge5SAIPEPovertyUniverse,UnderAge5inPovertyCount,UnderAge5inPovertyCountLB90%,UnderAge5inPovertyCountUB90%,90%ConfidenceInterval(UnderAge5inPovertyCount),UnderAge5inPovertyPercent,UnderAge5inPovertyPercentLB90%,UnderAge5inPovertyPercentUB90%,90%ConfidenceInterval(UnderAge5inPovertyPercent),MedianHouseholdIncomeinDollars,MedianHouseholdIncomeinDollarsLB90%,MedianHouseholdIncomeinDollarsUB90%,90%ConfidenceInterval(MedianHouseholdIncomeinDollars)
Fairbanks North Star Borough (AK),05000US02090,-146.5998673,64.6908322,100605,75501,4385,3875,7427,503,2357,924,1527,14725,24570,19257,9580,30.6,0.3756,77328,25.6,12.1024578027835,2017,2,2090,Fairbanks North Star Borough (AK),94772,7051,5552,8550,"5,552 to 8,550",7.4,5.8,9.0,5.8 to 9.0,23191,2095,1524,2666,"1,524 to 2,666",9,6.5,11.5,6.5 to 11.5,15657,1328,928,1728,"928 to 1,728",8.5,5.9,11.1,5.9 to 11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$74,241","$68,171","$80,311","$68,171 to $80,311"
Matanuska-Susitna Borough (AK),05000US02170,-149.407974,62.1821735,104365,86314,1019,1083,5455,141,325,337,2755,21071,28472,12841,9893,34.2,0.4351,69332,29.6,11.1565748226365,2017,2,2170,Matanuska-Susitna Borough (AK),103931,11768,10331,13205,"10,331 to 13,205",11.3,9.9,12.7,9.9 to 12.7,28054,3559,2903,4215,"2,903 to 4,215",12.7,10.4,15,10.4 to 15.0,20402,2232,1752,2712,"1,752 to 2,712",10.9,8.5,13.3,8.5 to 13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$72,296","$67,381","$77,211","$67,381 to $77,211"
Baldwin County (AL),05000US01003,-87.7460666,30.6592183,208563,180484,18821,914,1383,0,1469,3245,10506,41822,46790,43547,23375,42.4,0.4498,56732,29.3,17.8681670769351,2017,1,1003,Baldwin County (AL),209922,21199,17444,24954,"17,444 to 24,954",10.1,8.3,11.9,8.3 to 11.9,45790,6734,5079,8389,"5,079 to 8,389",14.7,11.1,18.3,11.1 to 18.3,34058,4871,3641,6101,"3,641 to 6,101",14.3,10.7,17.9,10.7 to 17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$56,607","$52,439","$60,775","$52,439 to $60,775"
Calhoun County (AL),05000US01015,-85.8225133,33.7717061,114611,NA,NA,NA,NA,NA,NA,2455,8853,24761,26625,12909,18193,39.1,0.4692,41687,24.8,23.4649322296007,2017,1,1015,Calhoun County (AL),111883,19832,16938,22726,"16,938 to 22,726",17.7,15.1,20.3,15.1 to 20.3,24510,5932,4701,7163,"4,701 to 7,163",24.2,19.2,29.2,19.2 to 29.2,18098,4021,3066,4976,"3,066 to 4,976",22.2,16.9,27.5,16.9 to 27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$45,937","$43,419","$48,455","$43,419 to $48,455"
Cullman County (AL),05000US01043,-86.8692666,34.1319229,82471,NA,NA,NA,NA,NA,NA,3273,8398,18481,16268,9732,11524,40.4,0.4518,39411,29.7,23.2944981682564,2017,1,1043,Cullman County (AL),81547,11256,9196,13316,"9,196 to 13,316",13.8,11.3,16.3,11.3 to 16.3,18222,3407,2564,4250,"2,564 to 4,250",18.7,14.1,23.3,14.1 to 23.3,13259,2431,1790,3072,"1,790 to 3,072",18.3,13.5,23.1,13.5 to 23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$45,925","$41,985","$49,865","$41,985 to $49,865"
DeKalb County (AL),05000US01049,-85.803992,34.460929,70900,NA,NA,NA,NA,NA,NA,2608,7356,15325,15319,5243,15029,39.8,0.4528,35963,31.4,28.7200094551471,2017,1,1049,DeKalb County (AL),70728,13785,11467,16103,"11,467 to 16,103",19.5,16.2,22.8,16.2 to 22.8,17277,4799,3840,5758,"3,840 to 5,758",27.8,22.2,33.4,22.2 to 33.4,13083,3468,2739,4197,"2,739 to 4,197",26.5,20.9,32.1,20.9 to 32.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$39,906","$36,346","$43,466","$36,346 to $43,466"
Elmore County (AL),05000US01051,-86.1427385,32.5972286,81799,NA,NA,NA,NA,NA,NA,835,5215,17016,17118,14645,11283,38.3,0.4535,52579,33.6,13.8057921635434,2017,1,1051,Elmore County (AL),76290,9151,7348,10954,"7,348 to 10,954",12.0,9.6,14.4,9.6 to 14.4,18014,2979,2250,3708,"2,250 to 3,708",16.5,12.5,20.5,12.5 to 20.5,13363,2130,1541,2719,"1,541 to 2,719",15.9,11.5,20.3,11.5 to 20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$59,652","$55,049","$64,255","$55,049 to $64,255"
Etowah County (AL),05000US01055,-86.0344203,34.0476377,102564,NA,NA,NA,NA,NA,NA,2880,8685,24731,22151,11075,16955,41.2,0.4477,41152,26.1,19.1559614094825,2017,1,1055,Etowah County (AL),100626,18257,15600,20914,"15,600 to 20,914",18.1,15.5,20.7,15.5 to 20.7,21804,6399,5373,7425,"5,373 to 7,425",29.3,24.6,34,24.6 to 34.0,15999,4369,3594,5144,"3,594 to 5,144",27.3,22.5,32.1,22.5 to 32.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$41,791","$38,946","$44,636","$38,946 to $44,636"
Houston County (AL),05000US01069,-85.2963976,31.1581928,104056,71838,27762,1054,443,0,1031,1698,8156,21501,24051,14517,20571,39.5,0.4799,42321,29.4,25.7385043531544,2017,1,1069,Houston County (AL),102856,17095,15498,18692,"15,498 to 18,692",16.6,15,18.2,15.0 to 18.2,23748,6301,5621,6981,"5,621 to 6,981",26.5,23.6,29.4,23.6 to 29.4,17586,4192,3585,4799,"3,585 to 4,799",23.8,20.3,27.3,20.3 to 27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$44,753","$42,919","$46,587","$42,919 to $46,587"
Jefferson County (AL),05000US01073,-86.8965359,33.5534439,659521,340506,279979,8366,1799,323,14127,7423,35046,117923,135554,147831,97105,38.0,0.5145,50180,29.9,18.0176705968599,2017,1,1073,Jefferson County (AL),643726,107752,99555,115949,"99,555 to 115,949",16.7,15.4,18.0,15.4 to 18.0,148690,34345,30365,38325,"30,365 to 38,325",23.1,20.4,25.8,20.4 to 25.8,107350,22293,19258,25328,"19,258 to 25,328",20.8,18.0,23.6,18.0 to 23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$50,731","$49,512","$51,950","$49,512 to $51,950"
