stars,text
5.0,idea place odd find surprising hakka thing around tried sesame chicken shrimp veggies crispiness sesame chicken makes want get more 
5.0,easily one best chinese spots cleveland only lunch very nice price huge portions food everything made fresh which good thing def will spot whenever taste chinese place very small not really eat place more take out 
5.0,definitely going back bf two different congees ordered two more things together food fresh made right front going back weekend 
5.0,ok first off place amazing do not normally even touch rice chinese restaurants bc gross rice actually fried rice by hand not out box been siting day out pressure cooker sweet sour chicken perfect not hard moist never been able eat entire plate did last nite new fav place wont any where else chinese very nice people very clean organized 
4.0,not too many authentic szechuan style restaurants us however find one pittsburgh really surprised found through yelp man good youve been china want some those experiences pittsburgh get awkward get hole wall visited already twice get fix chicken pepper szechwanchonqin style call kung pao chicken variety freshly wokd greens vegetables need order traditional chinese menunot regular menu pictures should good enough tell about what expect highly recommendable dont serve beerliquor byo 
5.0,finally took chance tried golden harbor lunch im very glad did ordering process others little different truthfully liked not having wait seated then wait someone bring menus etc traditional menu huge laid out well enough easy reading once order placed took less than ten minutes food arrive place about full time ordered basil eggplant chicken shu mai not disappointed both dishes very flavorful enough full meal leftovers prices going little more than what people used paying area considering how much food get price no problem only quibble about entire experience didnt see any prices some items advertised not menu maybe just didnt see otherwise heartily recommend golden harbor will certainly back again 
4.0,invited by work colleague try place out lunch other day first little hesitant thought restaurant only congee never tried just doesnt sound appealing im sure one day will when coworker told has tones other chinese dishes when arrived shocked see place packed waiting list well able get seated right away told friend decide since never been before she decided general tao chicken pad thai fried chili turnip patties when food came did receive pad thai waited until time leave asked bill told didnt time pad thai still tried bring out refused min late not acceptable eventually understood removed item bill meal full flavour cooked perfection entire meal decent price amount food received total came before tip great place enjoy variety items group setting while not breaking bank would definitely will return when bit more time other than lunch hour really enjoy atmosphere culture place 
1.0,grandchildren threw up right after got home nani upset stomach first time chunks fat dim sum ordered kind gross chef nani reading please cook healthier food others food poisoning not joke im feeling very disgusted thinking about food 
5.0,really got some incredible tasty food one favorite restaurants us 
4.0,im not too sure about dynastys dinner menu would definetly say dynasty sure serves up best dim sum toronto everytime crave dim sum would often come morning serve good quality food staff also very kind helpful service fast dont those typical chinese cart dim sum cause food becomes cold tastes horrible food dynasty comes out hot right away would also say place makes best crusty taro rolls crunchy outside soft tasty inside by far fave dish also almond pudding love 
2.0,ive takeout few times nothing terrible definitely not great just humble chinese take out joint located grocery store plaza 
5.0,much fun what great experience food incredible prices incredibly reasonable live entertainment cherry top love gem great families friends night out 
1.0,do not trust venue special event unfortunately made mistake please dont make same provided invoice chinese became hostile when asked help translating women taking payment guests yelled no valid reason even refused provide help believe her behaviour racially motivated would expect better given neighbourhood 
1.0,literally join yelp absolute terrible experience tonight party us received food while did not another minutes asked waiter twice given quick short answers running serving table next us party finally got fed up asked speak manager while normally should help situation not case manager not only rude confrontational he began explain mistake mistakes happen yes telling how many chefs he has how he cant work meals dont quite follow how restaurants staffing customers issue food now cold he no one told wait im sorry has common decency gone out window raised polite would appreciate something done ie forgotten meal given no cost responded make dish cant just do apparently managerowner he should ashamed his customer service skills lack thereof oh threatened write review seeing no other recourse minutes later hes offering free drink needless say point declined 
1.0,hola went today lunch order sweet sour shrimp egg fried rice only one cook food didnt turned out last time hotfreshand very tasty last time ordered shrimp pineappleonionswith alot flavor didnt see mexican cooks back cooking cashier looks she needs slap face lol sorry old grouchy lady shes always yes need more napkins son spilled soda table huh what no napkins miss napkins plz ohhhhh napkins napkins lol shrimp just deep fried sweetsauce nothing special wifey think cooks dont wk anymore 
4.0,food very good loved pakora chilli squid manchuria beef pretty good chilli dry chicken done mild great too portions very big person optimal people each dish girlfriend got bunch different stuff about per dish spent about dollars between us no drinks took lot home later service isnt great staff slow not very customer service oriented food great prices decent ill probably come back again 
4.0,panda express just what youd expect minus one star running out teriyaki chicken multiple visits four stars being consistently friendly while expressed frustration about chicken between expect wait line 
1.0,horrible service last time wait almost hour take away not busy did not care about customers ended up walking out place very small not clean 
5.0,eaten times summer will continue patronise shop clean helpful staff way meat served looks fresh orderwaiter staff point ayce mongolian grill dinner wonderful everything fresh traditional shop has great selection fresh ingredients enough most peoples taste number sauces spicing up flavoring selections after cooking grill mongolian grill not food would eat everyday yet shop does excellent job providing place type venue am quite pleased location easy find southeast side vegas valley which exploring dislike driving crowded northwestsummerlin area valley cadillac mercedes drivers do not seem obey any traffic rules these drivers change lanes far too often believing other should not roads 
4.0,first time ordered orange chicken fried rice egg roll diet coke see pic very good orange chicken sweet crispy loved pieces orange peel fried rice good paid everything will back 
5.0,been handful times now cindy by far gives best massages ever she very personable talented positive literally little ray sunshine just want give her hug when see her she knows body has better technique than any massage therapist ive ever been she affordable too hour half only bucks obviously tip her well top shes awesome make sure do too recommend 
1.0,no vegetarian entrees what kind chinese place doesnt tofu least mixed veggies went told just order sides thts garbage 
3.0,ive eaten restaurant many times food very good most part todays service forces lower opinion place lunch break limited amount time ordered egg foo young though forgot wound up having get no apologies offered not good 
3.0,ok bowl grassjelly dessert different toppings very affordable however taro sweet potato pieces cooked through some pieces very crunchy theyre not sweetened maybe theyre meant otherwise wouldve love dessert much 
5.0,best chow mein kids love orange chicken cant beat lunch combos waitress also very friendly she has been working past years been coming best homemade hot sauce ask only reason why know saw little cooler sitting by register while waiting food 
1.0,came friend restaurant looking some good chinese food sat down ordered within minutes ordered sprite wonton soup crispy soft tofu friend ordered coke vegetable low mien vegetable fried rice got sodas first friends soda flat black floating spec mine server get new soda course fine after got both plates relatively quickly friend waited over hour get even her first plate other people being served faster than her eventually food got us upon further inspection still made wrong fried rice tasted burnt char noodles came table cold too tldr experience sucked never again 
5.0,awesome chinese food great service definitely one best chinese restaurants vegas 
5.0,place bomb big portions super reasonable prices every time come order something random huge menu everything always great fave chinese restaurant hands down 
3.0,reviewed place before fantastic food lot places now where staff young about third thing mind first looking busy second making sure updating phones oh yeah hey customer talk im not gonna talk talk when do get spoken inconvenience night work food star service one star average star does anyone read these not been back year service bad no one has made change will see next year too bad really food hate being imposition some childs work day 
